"Weight set: ","[0.8677033734624879, 0.4130305461314676, 0.8667630569664856, 0.7072453169057696]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"fatty_acid_oxidation","sc_m-cresol_degradation_wp172_69778","9","0.146","0.032","0.001","0.985"
"fatty_acid_oxidation","sc_cytoplasmic_ribosomal_proteins_wp210_70142","9","0.146","0.451","0.209","1.338"
"fatty_acid_oxidation","sc_mapk_signaling_pathway_wp510_78392","7","0.104","0.278","0.068","1.115"
"fatty_acid_oxidation","sc_mitochondrial_trna_synthetases_wp62_76238","7","0.104","0.074","0.004","0.975"
"fatty_acid_oxidation","sc_starch_and_cellulose_biosynthesis_wp257_69834","9","0.146","0.027","0.000","0.982"
"fatty_acid_oxidation","sc_homocysteine_and_cysteine_interconversion_wp128_69755","11","0.188","0.022","0.000","1.009"
"glycine_biosynthesis_from_threonine","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.250","0.010","0.000","1.049"
"glycine_biosynthesis_from_threonine","sc_trehalose_biosynthesis_wp239_70272","17","0.313","0.002","0.000","1.090"
"glycine_biosynthesis_from_threonine","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","18","0.333","0.009","0.000","1.107"
"glycine_biosynthesis_from_threonine","sc_fatty_acid_elongation,_unsaturated_wp16_71346","13","0.229","0.003","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_upiquinone_q_prenylation_wp287_69848","13","0.229","0.003","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_anaerobic_respiration_wp575_73676","12","0.208","0.001","0.000","1.015"
"glycine_biosynthesis_from_threonine","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","20","0.375","0.006","0.000","1.135"
"glycine_biosynthesis_from_threonine","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","20","0.375","0.004","0.000","1.134"
"glycine_biosynthesis_from_threonine","sc_allantoin_degradation_wp328_71348","10","0.167","0.003","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_sulfur_degradation_wp440_69875","9","0.146","0.002","0.000","0.972"
"glycine_biosynthesis_from_threonine","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","18","0.333","0.004","0.000","1.105"
"glycine_biosynthesis_from_threonine","sc_pentose_phosphate_pathway_wp369_69863","11","0.188","0.007","0.000","1.003"
"glycine_biosynthesis_from_threonine","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","16","0.292","0.003","0.000","1.075"
"glycine_biosynthesis_from_threonine","sc_eukaryotic_transcription_initiation_wp425_77440","12","0.208","0.017","0.000","1.022"
"glycine_biosynthesis_from_threonine","sc_sulfate_assimilation_pathway_ii_wp579_70251","12","0.208","0.003","0.000","1.016"
"glycine_biosynthesis_from_threonine","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","21","0.396","0.002","0.000","1.149"
"glycine_biosynthesis_from_threonine","sc_methionine_degradation_wp46_69881","11","0.188","0.002","0.000","1.001"
"glycine_biosynthesis_from_threonine","sc_threonine_and_methionine_biosynthesis_wp423_69874","19","0.354","0.004","0.000","1.120"
"glycine_biosynthesis_from_threonine","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","23","0.438","0.014","0.000","1.183"
"glycine_biosynthesis_from_threonine","sc_pentose_phosphate_pathway_2_wp670_73392","11","0.188","0.008","0.000","1.003"
"glycine_biosynthesis_from_threonine","sc_p-hydroxybenzoate_biosynthesis_wp315_69851","18","0.333","0.000","0.000","1.103"
"glycine_biosynthesis_from_threonine","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","15","0.271","0.024","0.000","1.069"
"glycine_biosynthesis_from_threonine","sc_asparagine_biosynthesis_wp67_71349","19","0.354","0.002","0.000","1.119"
"glycine_biosynthesis_from_threonine","sc_phenylalanine_biosynthesis_wp194_69817","19","0.354","0.002","0.000","1.119"
"glycine_biosynthesis_from_threonine","sc_tryptophan_biosynthesis_wp165_71899","17","0.313","0.003","0.000","1.090"
"glycine_biosynthesis_from_threonine","sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","20","0.375","0.002","0.000","1.134"
"glycine_biosynthesis_from_threonine","sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","19","0.354","0.001","0.000","1.119"
"glycine_biosynthesis_from_threonine","sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","19","0.354","0.007","0.000","1.121"
"glycine_biosynthesis_from_threonine","sc_pathways_of_chorismate_wp213_71175","12","0.208","0.021","0.000","1.024"
"glycine_biosynthesis_from_threonine","sc_tca_cycle_wp490_78394","6","0.083","0.018","0.000","0.934"
"glycine_biosynthesis_from_threonine","sc_glucose_repression_wp2836_78395","12","0.208","0.011","0.000","1.020"
"glycine_biosynthesis_from_threonine","sc_nucleotide_metabolism_wp321_71895","11","0.188","0.005","0.000","1.002"
"glycine_biosynthesis_from_threonine","sc_arginine_degradation_wp54_70247","11","0.188","0.002","0.000","1.001"
"glycine_biosynthesis_from_threonine","sc_isoleucine_and_valine_biosynthesis_wp359_69861","20","0.375","0.010","0.000","1.137"
"glycine_biosynthesis_from_threonine","sc_fatty_acid_oxidation_wp91_71343","9","0.146","0.006","0.000","0.973"
"glycine_biosynthesis_from_threonine","sc_p-cymene_degradation_wp181_69808","10","0.167","0.003","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_tyrosine_biosynthesis_wp538_69941","19","0.354","0.002","0.000","1.119"
"glycine_biosynthesis_from_threonine","sc_lipases_biosynthesis_wp71_70049","18","0.333","0.002","0.000","1.104"
"glycine_biosynthesis_from_threonine","sc_glutamate_degradation_viii_wp99_70055","10","0.167","0.003","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_threonine_biosynthesis_wp331_70271","19","0.354","0.003","0.000","1.119"
"glycine_biosynthesis_from_threonine","sc_fatty_acid_elongation,_saturated_wp380_69867","13","0.229","0.003","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_de_novo_nad_biosynthesis_wp541_69942","17","0.313","0.005","0.000","1.091"
"glycine_biosynthesis_from_threonine","sc_protein_modifications_wp346_69859","11","0.188","0.007","0.000","1.003"
"glycine_biosynthesis_from_threonine","sc_polyamine_biosynthesis_wp290_69849","20","0.375","0.002","0.000","1.134"
"glycine_biosynthesis_from_threonine","sc_arginine_biosynthesis_wp275_69844","19","0.354","0.004","0.000","1.120"
"glycine_biosynthesis_from_threonine","sc_valine_biosynthesis_wp2_78390","19","0.354","0.003","0.000","1.119"
"glycine_biosynthesis_from_threonine","sc_sucrose_biosynthesis_wp14_69669","17","0.313","0.001","0.000","1.089"
"glycine_biosynthesis_from_threonine","sc_serine-isocitrate_lyase_pathway_wp390_69869","12","0.208","0.009","0.000","1.019"
"glycine_biosynthesis_from_threonine","sc_glutathione_biosynthesis_wp196_76277","20","0.375","0.001","0.000","1.133"
"glycine_biosynthesis_from_threonine","sc_glycogen_catabolism_wp478_70263","12","0.208","0.002","0.000","1.016"
"glycine_biosynthesis_from_threonine","sc_glutamate_degradation_vii_wp559_70041","10","0.167","0.005","0.000","0.988"
"glycine_biosynthesis_from_threonine","sc_galactose_metabolism_wp549_69945","11","0.188","0.003","0.000","1.002"
"glycine_biosynthesis_from_threonine","sc_aerobic_glycerol_catabolism_wp224_71353","12","0.208","0.009","0.000","1.019"
"glycine_biosynthesis_from_threonine","sc_deoxyribose_phosphate_metabolism_wp228_69829","13","0.229","0.002","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_gluconeogenesis_wp156_69762","13","0.229","0.004","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_nad_biosynthesis_wp84_71345","17","0.313","0.002","0.000","1.089"
"glycine_biosynthesis_from_threonine","sc_riboflavin,_fmn,_and_fad_biosynthesis_wp381_71896","18","0.333","0.004","0.000","1.105"
"glycine_biosynthesis_from_threonine","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.066","0.000","1.027"
"glycine_biosynthesis_from_threonine","sc_udp-glucose_conversion_wp109_69750","12","0.208","0.003","0.000","1.016"
"glycine_biosynthesis_from_threonine","sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","25","0.479","0.006","0.000","1.209"
"glycine_biosynthesis_from_threonine","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","20","0.375","0.010","0.000","1.137"
"glycine_biosynthesis_from_threonine","sc_trehalose_degradation,_low_osmolarity_wp70_70048","11","0.188","0.003","0.000","1.001"
"glycine_biosynthesis_from_threonine","sc_leucine_biosynthesis_wp180_69807","20","0.375","0.003","0.000","1.134"
"glycine_biosynthesis_from_threonine","sc_toluene_degradation_wp60_78389","10","0.167","0.003","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_triglyceride_biosynthesis_wp266_69843","21","0.396","0.002","0.000","1.149"
"glycine_biosynthesis_from_threonine","sc_glycolysis_wp253_69832","11","0.188","0.010","0.000","1.004"
"glycine_biosynthesis_from_threonine","sc_rump_cycle_and_formaldehyde_assimilation_wp332_71344","13","0.229","0.002","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_proteasome_degradation_wp158_77442","12","0.208","0.020","0.000","1.023"
"glycine_biosynthesis_from_threonine","sc_tryptophan_degradation_wp301_67723","10","0.167","0.007","0.000","0.988"
"glycine_biosynthesis_from_threonine","sc_glucose-1-phosphate_metabolism_wp260_69835","13","0.229","0.002","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","18","0.333","0.007","0.000","1.106"
"glycine_biosynthesis_from_threonine","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","20","0.375","0.011","0.000","1.138"
"glycine_biosynthesis_from_threonine","sc_glutamate_biosynthesis_wp77_71350","18","0.333","0.004","0.000","1.105"
"glycine_biosynthesis_from_threonine","sc_lactose_degradation_wp546_69943","10","0.167","0.004","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_isoleucine_biosynthesis_wp250_69831","20","0.375","0.004","0.000","1.134"
"glycine_biosynthesis_from_threonine","sc_glycolysis_and_gluconeogenesis_wp515_78397","15","0.271","0.022","0.000","1.068"
"glycine_biosynthesis_from_threonine","sc_asparagine_degradation_wp432_71892","10","0.167","0.004","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_tca_cycle_-_detailed_wp296_76239","9","0.146","0.012","0.000","0.976"
"glycine_biosynthesis_from_threonine","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","28","0.542","0.002","0.000","1.252"
"glycine_biosynthesis_from_threonine","sc_phenylalanine_degradation_wp573_74213","10","0.167","0.006","0.000","0.988"
"glycine_biosynthesis_from_threonine","sc_purine_fermentation_wp463_73550","13","0.229","0.003","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_serine_and_glycine_biosynthesis_wp218_69824","22","0.417","0.003","0.000","1.164"
"glycine_biosynthesis_from_threonine","sc_histidine_biosynthesis_wp514_71894","19","0.354","0.005","0.000","1.120"
"glycine_biosynthesis_from_threonine","sc_serine_biosynthesis_wp459_69877","19","0.354","0.002","0.000","1.119"
"glycine_biosynthesis_from_threonine","sc_non-oxidative_branch_of_the_pentose_pathway_wp379_69866","15","0.271","0.005","0.000","1.061"
"glycine_biosynthesis_from_threonine","sc_ubiquinone_biosynthesis_wp308_69850","19","0.354","0.005","0.000","1.120"
"glycine_biosynthesis_from_threonine","sc_translation_factors_wp32_71347","9","0.146","0.020","0.000","0.979"
"glycine_biosynthesis_from_threonine","sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","16","0.292","0.003","0.000","1.075"
"glycine_biosynthesis_from_threonine","sc_colanic_acid_building_blocks_biosynthesis_wp121_72199","19","0.354","0.004","0.000","1.120"
"glycine_biosynthesis_from_threonine","sc_phospholipid_biosynthesis_wp9_69581","17","0.313","0.005","0.000","1.091"
"glycine_biosynthesis_from_threonine","sc_sphingolipid_metabolism_wp370_76472","10","0.167","0.011","0.000","0.990"
"glycine_biosynthesis_from_threonine","sc_xylulose-monophosphate_cycle_wp361_69862","10","0.167","0.003","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_principle_pathways_of_carbon_metabolism_wp112_78138","16","0.292","0.044","0.000","1.092"
"glycine_biosynthesis_from_threonine","sc_glutamate_degradation_iii_wp503_69932","10","0.167","0.003","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_chorismate_biosynthesis_wp479_73732","18","0.333","0.004","0.000","1.105"
"glycine_biosynthesis_from_threonine","sc_glutamate_degradation_i_wp556_69958","10","0.167","0.002","0.000","0.986"
"glycine_biosynthesis_from_threonine","sc_leucine_degradation_wp354_70265","11","0.188","0.002","0.000","1.001"
"glycine_biosynthesis_from_threonine","sc_dna_replication_wp13_78398","8","0.125","0.041","0.000","0.973"
"glycine_biosynthesis_from_threonine","sc_genes_of_meiotic_recombination_wp377_69605","15","0.271","0.010","0.000","1.064"
"glycine_biosynthesis_from_threonine","sc_carbon_monoxide_dehydrogenase_pathway_wp280_71352","13","0.229","0.003","0.000","1.031"
"glycine_biosynthesis_from_threonine","sc_nad_salvage_pathway_wp171_73683","8","0.125","0.003","0.000","0.957"
"glycine_biosynthesis_from_threonine","sc_aspartate_biosynthesis_wp1518_76276","17","0.313","0.002","0.000","1.090"
"glycine_biosynthesis_from_threonine","sc_glycine_degradation_wp345_71005","13","0.229","0.005","0.000","1.032"
"glycine_biosynthesis_from_threonine","sc_pyruvate_dehydrogenase_pathway_wp214_69823","11","0.188","0.002","0.000","1.001"
"glycine_biosynthesis_from_threonine","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","15","0.271","0.002","0.000","1.060"
"glycine_biosynthesis_from_threonine","sc_cholesterol_biosynthesis_wp132_77403","17","0.313","0.008","0.000","1.092"
"glycine_biosynthesis_from_threonine","sc_lysine_biosynthesis_wp533_69940","20","0.375","0.004","0.000","1.135"
"glycine_biosynthesis_from_threonine","sc_glycine_biosynthesis_wp261_77412","22","0.417","0.000","0.000","1.162"
"glycine_biosynthesis_from_threonine","sc_octane_oxidation_wp552_69954","10","0.167","0.003","0.000","0.987"
"glycine_biosynthesis_from_threonine","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","15","0.271","0.003","0.000","1.061"
"glycine_biosynthesis_from_threonine","sc_folic_acid_biosynthesis_wp555_69957","18","0.333","0.008","0.000","1.107"
"glycine_biosynthesis_from_threonine","sc_sulfur_amino_acid_biosynthesis_wp7_70252","18","0.333","0.008","0.000","1.107"
"glycine_biosynthesis_from_threonine","sc_isoleucine_degradation_wp178_69780","11","0.188","0.004","0.000","1.002"
"glycine_biosynthesis_from_threonine","sc_tryptophan_degradation_via_kynurenine_wp452_70274","15","0.271","0.003","0.000","1.061"
