"kegg","intpathway","LCS","Gene Agreement","GenePair Agreement"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycolysis_and_gluconeogenesis","0","0.175","0.004"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","lysine_biosynthesis","0","0.034","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sulfur_metabolism","0","0.046","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","terpenoid_backbone_biosynthesis","1","0.040","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","trehalose_anabolism","0","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phagosome","0","0.101","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","valine,_leucine_and_isoleucine_degradation","0","0.067","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","arginine_degradation","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","base_excision_repair","0","0.052","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_fatty_acid_biosynthesis,","1","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pathways_of_chorismate","0","0.075","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glutamate_degradation","0","0.058","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycine_degradation","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","folate_transformations","0","0.034","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","folate_biosynthesis","0","0.061","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","rna_transport","0","0.211","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","xylulose-monophosphate_cycle","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phenylalanine_degradation","0","0.037","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","homocysteine_and_cysteine_interconversion","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","aerobic_respiration,_electron_transport_chain","1","0.081","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_histidine,_purine,_and_pyrimidine","1","0.135","0.006"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","butanediol_degradation","0","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","cyanoamino_acid_metabolism","0","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","fructose_and_mannose_metabolism","0","0.081","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","riboflavin,_fmn_and_fad_biosynthesis","1","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","valine_degradation","0","0.034","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","aerobic_glycerol_catabolism","0","0.052","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glutathione_degradation","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phenylalanine_and_tyrosine_biosynthesis","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","synthesis_and_degradation_of_ketone_bodies","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pantothenate_and_coa_biosynthesis","1","0.058","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","purine_metabolism","0","0.256","0.006"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","histidine_metabolism","0","0.046","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sulfur_amino_acid_biosynthesis","1","0.043","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","oxidative_phosphorylation","0","0.183","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","alanine_biosynthesis","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","formaldehyde_oxidation_ii_(glutathione-dependent)","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","inositol_phosphate_metabolism","0","0.046","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","valine_biosynthesis","0","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","hexaprenyl_diphosphate_biosynthesis","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","alpha-linolenic_acid_metabolism","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","tryptophan_metabolism","0","0.058","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","homologous_recombination","0","0.058","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","citrulline_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pyruvate_metabolism","0","0.098","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","folate_interconversions","0","0.037","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","meiosis_-_yeast","0","0.334","0.003"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","endocytosis","0","0.110","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phospholipid_biosynthesis","1","0.043","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","mismatch_repair","0","0.058","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","ubiquinone_biosynthesis","1","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","carbon_monoxide_dehydrogenase_pathway","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","trehalose_degradation","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","alanine,_aspartate_and_glutamate_metabolism","1","0.090","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycine,_serine_and_threonine_metabolism","1","0.072","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","nad_biosynthesis","0","0.031","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","fatty_acid_metabolism","0","0.052","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","fatty_acid_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","tetrapyrrole_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_nad_biosynthesis","1","0.046","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","p-cymene_degradation","0","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","arachidonic_acid_metabolism","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","riboflavin_metabolism","0","0.043","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","serine-isocitrate_lyase_pathway","1","0.055","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycine_biosynthesis_from_serine","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","butanediol_biosynthesis","0","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","biotin_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","toulene_degradation","0","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","l-serine_degradation","0","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glyoxylate_cycle","0","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","dolichyl_phosphate_d-mannose_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","4-aminobutyrate_degradation","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","dolichyl_glucosyl_phosphate_biosynthesis","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_phosphatidate_biosynthesis","1","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_polyamine_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","alanine_degradation","0","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","ribosome_biogenesis_in_eukaryotes","1","0.211","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","serine_biosynthesis_from_glyoxylate","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","translation_factors","0","0.115","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","propanoate_metabolism","0","0.034","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","cell_cycle_and_cell_division","0","0.282","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","arginine_and_proline_metabolism","0","0.090","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","carnitine_shuttle","0","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","triglyceride_biosynthesis","1","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","limonene_and_pinene_degradation","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sulfate_assimilation_pathway","1","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","abc_transporters","0","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","udp-n-acetylglucosamine_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","removal_of_superoxide_radicals","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","p-aminobenzoate_biosynthesis","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","ribose_and_deoxyribose_phosphate_metabolism","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","methionine_biosynthesis","1","0.022","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pentosephosphatweg","0","0.037","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","<i>myo</i>-inositol_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_purine_biosynthesis_and_salvage_pathways","1","0.104","0.003"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","tryptophan_degradation","0","0.058","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","thiamine_metabolism","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","nucleotide_excision_repair","0","0.107","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","upiquinone_q_prenylation","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","ubiquitin_mediated_proteolysis","0","0.135","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glucose_fermentation","0","0.098","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","polyamine_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phosphatidylinositol_signaling_system","0","0.046","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glutathione-glutaredoxin_redox_reaction","0","0.034","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","octane_oxidation","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","spliceosome","0","0.198","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","udp-glucose_conversion","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sulfur_relay_system","0","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","allantoin_degradation","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","de_novo_biosynthesis_of_pyrimidine_ribonucleotides","1","0.061","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","porphyrin_and_chlorophyll_metabolism","0","0.049","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","threonine_and_methionine_biosynthesis","1","0.040","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","heme_biosynthesis","0","0.031","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","myristate_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glyoxylate_and_dicarboxylate_metabolism","0","0.046","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","purine_fermentation","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","salvage_pathways_of_purines_and_their_nucleosides","1","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","chorismate_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","beta-alanine_metabolism","0","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycogen_biosynthesis","1","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","rna_degradation","0","0.164","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","serine_and_glycine_biosynthesis","1","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","periplasmic_nad_degradation","0","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","asparagine_degradation","0","0.022","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","starch_and_sucrose_metabolism","0","0.118","0.003"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phenylalanine_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","vitamin_b6_metabolism","0","0.034","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","valine,_leucine_and_isoleucine_biosynthesis","1","0.055","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pyruvate_dehydrogenase_complex","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","proline_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","cytoplasmic_trna_synthetases","0","0.058","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","de_novo_biosynthesis_of_purine_nucleotides","1","0.075","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","putrescine_biosynthesis","1","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","threonine_biosynthesis","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sulfur_degradation","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","biosynthesis_of_secondary_metabolites","1","0.536","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","mrna_surveillance_pathway","1","0.095","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","methane_metabolism","0","0.087","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pentose_phosphate_pathway","1","0.084","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phospholipids_degradation","0","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pentose_and_glucuronate_interconversions","1","0.031","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","arginine_biosynthesis","1","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","folate_polyglutamylation","0","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","palmitoleate_and_palmitate_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","homocysteine_biosynthesis","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","snare_interactions_in_vesicular_transport","1","0.069","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","s-adenosylmethionine_biosynthesis","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","galactose_metabolism","0","0.069","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","principle_pathways_of_carbon_metabolism","0","0.221","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycerol_teichoic_acid_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","serine_biosynthesis_from_3-phosphoglycerate","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","valine,_leucine_and_isoleucine_biosynthesis","1","0.055","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","s-adenosylmethionine_cycle","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","anaerobic_respiration","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","proline_utilization","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","cysteine_biosynthesis/homocysteine_degradation","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","lipid-linked_oligosaccharide_biosynthesis","1","0.040","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","selenocompound_metabolism","0","0.037","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","nitrogen_metabolism","0","0.049","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","asparagine_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","salvage_pathways_of_pyrimidine_ribonucleotides","0","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","folic_acid_biosynthesis","1","0.031","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","ethanol_degradation","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","protein_modifications","0","0.037","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","chitin_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","starch_and_cellulose_biosynthesis","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","homoserine_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","de_novo_biosyn._of_pyrimidine_deoxyribonucleotides","1","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","protein_processing_in_endoplasmic_reticulum","0","0.221","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","biosynthesis_of_unsaturated_fatty_acids","1","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","tyrosine_metabolism","0","0.055","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","fatty_acid_elongation,","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","other_types_of_o-glycan_biosynthesis","1","0.040","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","nicotinate_and_nicotinamide_metabolism","1","0.022","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pyridoxal_5'-phosphate_salvage_pathway","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","non-oxidative_branch_of_the_pentose_pathway","1","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","regulation_of_autophagy","0","0.052","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","citrate_cycle_(tca_cycle)","0","0.098","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","very_long_chain_fatty_acid_biosynthesis","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","non-homologous_end-joining","0","0.031","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","m-cresol_degradation","0","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","tryptophan_biosynthesis","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","eukaryotic_transcription_initiation","0","0.093","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_ubiquinone_biosynthesis","1","0.025","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glutamate_biosynthesis","0","0.022","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","lysine_degradation","0","0.043","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","tca_cycle","0","0.095","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","acetate_utilization","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glucose-6-phosphate_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","inositol_phosphate_biosynthesis","1","0.126","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","biotin_metabolism","0","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","mitochondrial_trna_synthetases","0","0.043","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","aminoacyl-trna_biosynthesis","1","0.115","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","cysteine_and_methionine_metabolism","0","0.093","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_glutamate_biosynthesis","1","0.022","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glutamine_biosynthesis","0","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","nucleotide_metabolism","0","0.115","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","thioredoxin_system","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_chorismate","0","0.093","0.002"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","one_carbon_pool_by_folate","0","0.046","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","colanic_acid_building_blocks_biosynthesis","1","0.022","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_phospholipid_biosynthesis","1","0.064","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","xylulose_degradation","0","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","chitosan_biosynthesis","1","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycine_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","xylose_metabolism","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_sulfur_amino_acid_biosynthesis","1","0.064","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","proteasome","0","0.126","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phosphatidate_biosynthesis_i_(the_dihydroxyacetone_pathway)","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","taurine_and_hypotaurine_metabolism","0","0.006","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sucrose_biosynthesis","1","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","aspartate_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","spermine,_spermidine_and_methylthioadenosine_biosynthesis","1","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","rna_polymerase","0","0.087","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","2-ketoglutarate_dehydrogenase_complex","0","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","steroid_biosynthesis","1","0.046","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_acetoin_and_butanediol_biosynthesis","1","0.019","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycogen_catabolism","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","metabolic_pathways","0","0.895","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","methionine_degradation","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycerol_biosynthesis","1","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","mapk_signaling_pathway","0","0.164","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","ribosome","0","0.370","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_leucine,_isoleucine,_and_valine_biosynthesis","1","0.034","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","fatty_acid_elongation","0","0.015","0.000"
