"Weight set: ","[0.0, 0.0, 0.0, 1.0]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"glycerol_biosynthesis","sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","21","0.396","0.011","0.000","0.396"
"glycerol_degradation","sc_glycine_degradation_wp345_71005","17","0.313","0.010","0.000","0.313"
"glycerol_teichoic_acid_biosynthesis","sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","35","0.688","0.000","0.000","0.688"
"glycerolipid_metabolism","sc_sphingolipid_metabolism_wp370_76472","18","0.333","0.170","0.007","0.333"
"glycerophospholipid_metabolism","sc_deoxyribose_phosphate_metabolism_wp228_69829","21","0.396","0.062","0.000","0.396"
"glycine,_serine_and_threonine_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","25","0.479","0.076","0.001","0.479"
"glycine_biosynthesis","sc_serine_and_glycine_biosynthesis_wp218_69824","20","0.375","0.000","0.000","0.375"
"glycine_biosynthesis_from_serine","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","29","0.563","0.004","0.000","0.563"
"glycine_biosynthesis_from_threonine","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","28","0.542","0.002","0.000","0.542"
"glycine_cleavage_complex","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","15","0.271","0.031","0.001","0.271"
"glycine_degradation","sc_glycine_degradation_wp345_71005","19","0.354","0.000","0.000","0.354"
"glycogen_biosynthesis","sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","19","0.354","0.000","0.000","0.354"
"glycogen_catabolism","sc_glycogen_catabolism_wp478_70263","19","0.354","0.000","0.000","0.354"
"glycolysis_and_gluconeogenesis","sc_glycolysis_and_gluconeogenesis_wp515_78397","30","0.583","0.000","0.187","0.583"
"glyoxylate_and_dicarboxylate_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","25","0.479","0.048","0.001","0.479"
"glyoxylate_cycle","sc_xylulose-monophosphate_cycle_wp361_69862","12","0.208","0.022","0.000","0.208"
"heme_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","17","0.313","0.043","0.000","0.313"
"hexaprenyl_diphosphate_biosynthesis","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","25","0.479","0.056","0.001","0.479"
"histidine_biosynthesis","sc_histidine_biosynthesis_wp514_71894","22","0.417","0.000","0.001","0.417"
"histidine_metabolism","sc_nucleotide_metabolism_wp321_71895","16","0.292","0.071","0.000","0.292"
"homocysteine_and_cysteine_interconversion","sc_homocysteine_and_cysteine_interconversion_wp128_69755","41","0.813","0.000","0.000","0.813"
"homocysteine_biosynthesis","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","21","0.396","0.000","0.000","0.396"
"homologous_recombination","sc_genes_of_meiotic_recombination_wp377_69605","17","0.313","-0.000","0.000","0.313"
"homoserine_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","20","0.375","0.000","0.000","0.375"
"inositol_phosphate_biosynthesis","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","24","0.458","0.393","0.011","0.458"
"inositol_phosphate_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","26","0.500","0.048","0.000","0.500"
"l-serine_degradation","sc_methionine_degradation_wp46_69881","17","0.313","0.002","0.000","0.313"
"lactose_degradation","sc_lactose_degradation_wp546_69943","19","0.354","0.000","0.000","0.354"
"limonene_and_pinene_degradation","sc_homocysteine_and_cysteine_interconversion_wp128_69755","20","0.375","0.011","0.000","0.375"
"lipases_biosynthesis","sc_lipases_biosynthesis_wp71_70049","20","0.375","0.000","0.000","0.375"
"lipid-linked_oligosaccharide_biosynthesis","sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","41","0.813","0.000","0.000","0.813"
"lipoic_acid_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","17","0.313","0.128","0.012","0.313"
"lysine_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","19","0.354","0.000","0.000","0.354"
"lysine_degradation","sc_glycine_degradation_wp345_71005","17","0.313","0.066","0.000","0.313"
"m-cresol_degradation","sc_m-cresol_degradation_wp172_69778","20","0.375","0.000","0.000","0.375"
"mannose_degradation","sc_methionine_degradation_wp46_69881","16","0.292","0.009","0.000","0.292"
"mapk_signaling_pathway","sc_mapk_signaling_pathway_wp510_78392","22","0.417","0.000","0.120","0.417"
"meiosis_-_yeast","sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","11","0.188","0.545","0.012","0.188"
"metabolic_pathways","sc_sulfate_assimilation_pathway_ii_wp579_70251","12","0.208","0.000","0.000","0.208"
"methane_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","16","0.292","0.000","0.138","0.292"
"methionine_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","23","0.438","-0.000","0.000","0.438"
"methionine_degradation","sc_methionine_degradation_wp46_69881","22","0.417","0.000","0.000","0.417"
"methionine_salvage_pathway","sc_serine-isocitrate_lyase_pathway_wp390_69869","17","0.313","0.122","0.001","0.313"
"methylglyoxal_catabolism","sc_aerobic_glycerol_catabolism_wp224_71353","17","0.313","0.027","0.000","0.313"
"mevalonate_pathway","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","15","0.271","0.015","0.000","0.271"
"mismatch_repair","sc_fatty_acid_elongation,_unsaturated_wp16_71346","9","0.146","0.060","0.000","0.146"
"mitochondrial_trna_synthetases","sc_mitochondrial_trna_synthetases_wp62_76238","30","0.583","0.000","0.000","0.583"
"mrna_surveillance_pathway","sc_sulfate_assimilation_pathway_ii_wp579_70251","16","0.292","0.100","0.000","0.292"
"myristate_biosynthesis","sc_chorismate_biosynthesis_wp479_73732","19","0.354","0.013","0.000","0.354"
"n-glycan_biosynthesis","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","20","0.375","0.086","0.000","0.375"
"nad_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","16","0.292","0.037","0.000","0.292"
"nad_salvage_pathway","sc_nad_salvage_pathway_wp171_73683","19","0.354","0.000","0.000","0.354"
"nicotinate_and_nicotinamide_metabolism","sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","23","0.438","0.045","0.001","0.438"
"nitrogen_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","17","0.313","0.519","0.243","0.313"
"non-homologous_end-joining","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","12","0.208","0.032","0.000","0.208"
"non-oxidative_branch_of_the_pentose_pathway","sc_non-oxidative_branch_of_the_pentose_pathway_wp379_69866","43","0.854","0.000","0.000","0.854"
"nucleotide_excision_repair","sc_nucleotide_metabolism_wp321_71895","16","0.292","0.012","0.000","0.292"
"nucleotide_metabolism","sc_nucleotide_metabolism_wp321_71895","21","0.396","0.000","0.002","0.396"
"octane_oxidation","sc_octane_oxidation_wp552_69954","16","0.292","0.000","0.000","0.292"
"oleate_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","18","0.333","0.004","0.000","0.333"
"one_carbon_pool_by_folate","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","15","0.271","0.123","0.010","0.271"
"other_glycan_degradation","sc_glycine_degradation_wp345_71005","18","0.333","0.005","0.000","0.333"
"other_types_of_o-glycan_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","24","0.458","0.048","0.000","0.458"
"oxidative_phosphorylation","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","18","0.333","0.101","0.000","0.333"
"p-aminobenzoate_biosynthesis","sc_p-hydroxybenzoate_biosynthesis_wp315_69851","24","0.458","0.000","0.000","0.458"
"p-cymene_degradation","sc_p-cymene_degradation_wp181_69808","20","0.375","0.000","0.000","0.375"
"palmitoleate_and_palmitate_biosynthesis","sc_isoleucine_and_valine_biosynthesis_wp359_69861","27","0.521","0.041","0.001","0.521"
"pantothenate_and_coa_biosynthesis","sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","32","0.625","0.000","0.002","0.625"
"pathways_of_chorismate","sc_pathways_of_chorismate_wp213_71175","22","0.417","0.000","0.000","0.417"
"pentose_and_glucuronate_interconversions","sc_homocysteine_and_cysteine_interconversion_wp128_69755","27","0.521","0.022","0.000","0.521"
"pentose_phosphate_pathway","sc_pentose_phosphate_pathway_wp369_69863","25","0.479","0.000","0.008","0.479"
"pentosephosphatweg","sc_pentose_phosphate_pathway_wp369_69863","16","0.292","0.000","0.001","0.292"
"periplasmic_nad_degradation","sc_phenylalanine_degradation_wp573_74213","18","0.333","0.006","0.000","0.333"
"peroxisome","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","8","0.125","0.550","0.000","0.125"
"phagosome","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","7","0.104","0.259","0.001","0.104"
"phenylalanine,_tyrosine,_tryptophan_biosynthesis","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","48","0.958","0.000","0.011","0.958"
"phenylalanine_and_tyrosine_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","39","0.771","0.000","0.000","0.771"
"phenylalanine_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","26","0.500","0.000","0.000","0.500"
"phenylalanine_degradation","sc_phenylalanine_degradation_wp573_74213","25","0.479","0.000","0.002","0.479"
"phenylalanine_metabolism","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","21","0.396","0.000","0.002","0.396"
"phosphatidate_biosynthesis_i_(the_dihydroxyacetone_pathway)","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","29","0.563","0.007","0.000","0.563"
"phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","35","0.688","0.008","0.000","0.688"
"phosphatidylinositol_signaling_system","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","23","0.438","0.007","0.003","0.438"
"phospholipid_biosynthesis","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","25","0.479","0.000","0.002","0.479"
"phospholipids_degradation","sc_phenylalanine_degradation_wp573_74213","17","0.313","0.018","0.000","0.313"
"polyamine_biosynthesis","sc_polyamine_biosynthesis_wp290_69849","22","0.417","0.000","0.000","0.417"
"porphyrin_and_chlorophyll_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","23","0.438","0.051","0.000","0.438"
"principle_pathways_of_carbon_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","39","0.771","0.000","0.000","0.771"
"proline_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","19","0.354","0.011","0.000","0.354"
"proline_utilization","sc_protein_modifications_wp346_69859","13","0.229","0.013","0.000","0.229"
"propanoate_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","19","0.354","0.035","0.000","0.354"
"proteasome","sc_proteasome_degradation_wp158_77442","10","0.167","0.000","0.000","0.167"
"protein_export","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","10","0.167","0.067","0.000","0.167"
"protein_modifications","sc_protein_modifications_wp346_69859","21","0.396","0.000","0.000","0.396"
"protein_processing_in_endoplasmic_reticulum","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","18","0.333","0.864","0.082","0.333"
"purine_fermentation","sc_purine_fermentation_wp463_73550","19","0.354","0.000","0.000","0.354"
"purine_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","16","0.292","0.795","0.764","0.292"
"putrescine_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","20","0.375","0.004","0.000","0.375"
"pyridoxal_5'-phosphate_salvage_pathway","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","21","0.396","0.003","0.000","0.396"
"pyrimidine_metabolism","sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","17","0.313","0.000","0.014","0.313"
"pyruvate_dehydrogenase_complex","sc_pyruvate_dehydrogenase_pathway_wp214_69823","24","0.458","0.000","0.000","0.458"
"pyruvate_dehydrogenase_pathway","sc_pyruvate_dehydrogenase_pathway_wp214_69823","30","0.583","0.000","0.000","0.583"
"pyruvate_metabolism","sc_deoxyribose_phosphate_metabolism_wp228_69829","16","0.292","0.070","0.001","0.292"
"regulation_of_autophagy","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","14","0.250","0.054","0.000","0.250"
"removal_of_superoxide_radicals","sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","18","0.333","0.026","0.000","0.333"
"riboflavin,_fmn_and_fad_biosynthesis","sc_riboflavin,_fmn,_and_fad_biosynthesis_wp381_71896","36","0.708","0.000","0.000","0.708"
"riboflavin_metabolism","sc_riboflavin,_fmn,_and_fad_biosynthesis_wp381_71896","17","0.313","0.000","0.001","0.313"
"ribose_and_deoxyribose_phosphate_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","43","0.854","0.000","0.000","0.854"
"ribosome","sc_deoxyribose_phosphate_metabolism_wp228_69829","8","0.125","0.278","0.000","0.125"
"ribosome_biogenesis_in_eukaryotes","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","20","0.375","0.663","0.021","0.375"
"rna_degradation","sc_arginine_degradation_wp54_70247","14","0.250","0.118","0.000","0.250"
"rna_polymerase","sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","10","0.167","0.174","0.000","0.167"
"rna_transport","sc_eukaryotic_transcription_initiation_wp425_77440","10","0.167","0.727","0.048","0.167"
"rump_cycle_and_formaldehyde_assimilation","sc_rump_cycle_and_formaldehyde_assimilation_wp332_71344","40","0.792","0.000","0.000","0.792"
"s-adenosylmethionine_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","26","0.500","0.009","0.000","0.500"
"s-adenosylmethionine_cycle","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","18","0.333","0.055","0.001","0.333"
"salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","36","0.708","0.023","0.000","0.708"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","36","0.708","0.010","0.000","0.708"
"salvage_pathways_of_purines_and_their_nucleosides","sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","37","0.729","0.029","0.000","0.729"
"salvage_pathways_of_pyrimidine_ribonucleotides","sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","46","0.917","0.000","0.000","0.917"
"selenocompound_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","18","0.333","0.422","0.057","0.333"
"serine-isocitrate_lyase_pathway","sc_serine-isocitrate_lyase_pathway_wp390_69869","31","0.604","0.000","0.000","0.604"
"serine_and_glycine_biosynthesis","sc_serine_and_glycine_biosynthesis_wp218_69824","31","0.604","0.000","0.000","0.604"
"serine_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","19","0.354","0.015","0.000","0.354"
"serine_biosynthesis_from_3-phosphoglycerate","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","30","0.583","0.009","0.000","0.583"
"serine_biosynthesis_from_glyoxylate","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","26","0.500","0.004","0.000","0.500"
"snare_interactions_in_vesicular_transport","sc_eukaryotic_transcription_initiation_wp425_77440","20","0.375","0.325","0.013","0.375"
"spermine,_spermidine_and_methylthioadenosine_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","34","0.667","0.013","0.000","0.667"
"sphingolipid_metabolism","sc_sphingolipid_metabolism_wp370_76472","23","0.438","0.000","0.007","0.438"
"spliceosome","sc_cytoplasmic_ribosomal_proteins_wp210_70142","10","0.167","0.986","0.000","0.167"
"starch_and_cellulose_biosynthesis","sc_starch_and_cellulose_biosynthesis_wp257_69834","33","0.646","0.000","0.000","0.646"
"starch_and_sucrose_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","22","0.417","0.124","0.003","0.417"
"stearate_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","19","0.354","0.015","0.000","0.354"
"steroid_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","19","0.354","0.063","0.000","0.354"
"sucrose_biosynthesis","sc_sucrose_biosynthesis_wp14_69669","20","0.375","0.000","0.000","0.375"
