"Weight set: ","[0.0, 0.0, 0.0, 1.0]"
"wikipathways","kegg","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","31","0.903","0.041","0.003","0.903"
"sc_de_novo_nad_biosynthesis_wp541_69942","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","23","0.645","0.050","0.004","0.645"
"sc_deoxyribose_phosphate_metabolism_wp228_69829","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","23","0.645","0.018","0.000","0.645"
"sc_dna_replication_wp13_78398","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","14","0.355","0.177","0.049","0.355"
"sc_eukaryotic_transcription_initiation_wp425_77440","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","20","0.548","0.164","0.053","0.548"
"sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","33","0.968","0.041","0.002","0.968"
"sc_fatty_acid_elongation,_saturated_wp380_69867","fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","27","0.774","0.023","0.001","0.774"
"sc_fatty_acid_elongation,_unsaturated_wp16_71346","fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","27","0.774","0.023","0.001","0.774"
"sc_fatty_acid_oxidation_wp91_71343","fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","21","0.581","0.041","0.003","0.581"
"sc_folic_acid_biosynthesis_wp555_69957","phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","23","0.645","0.019","0.000","0.645"
"sc_galactose_metabolism_wp549_69945","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","18","0.484","0.015","0.000","0.484"
"sc_genes_of_meiotic_recombination_wp377_69605","isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","20","0.548","0.093","0.015","0.548"
"sc_gluconeogenesis_wp156_69762","gluconeogenesis,_oxaloacetate_=>_fructose-6p","18","0.484","0.077","0.010","0.484"
"sc_glucose-1-phosphate_metabolism_wp260_69835","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","22","0.613","0.018","0.000","0.613"
"sc_glucose_repression_wp2836_78395","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","16","0.419","0.090","0.012","0.419"
"sc_glutamate_biosynthesis_wp77_71350","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","22","0.613","0.018","0.000","0.613"
"sc_glutamate_degradation_i_wp556_69958","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","22","0.613","0.008","0.000","0.613"
"sc_glutamate_degradation_iii_wp503_69932","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","22","0.613","0.013","0.000","0.613"
"sc_glutamate_degradation_vii_wp559_70041","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","23","0.645","0.023","0.001","0.645"
"sc_glutamate_degradation_viii_wp99_70055","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","22","0.613","0.013","0.000","0.613"
"sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","22","0.613","0.063","0.007","0.613"
"sc_glutathione_biosynthesis_wp196_76277","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23","0.645","0.005","0.000","0.645"
"sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","25","0.710","0.020","0.001","0.710"
"sc_glycine_biosynthesis_wp261_77412","lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","23","0.645","0.023","0.001","0.645"
"sc_glycine_degradation_wp345_71005","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","20","0.548","0.023","0.001","0.548"
"sc_glycogen_catabolism_wp478_70263","glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","15","0.387","0.064","0.006","0.387"
"sc_glycolysis_and_gluconeogenesis_wp515_78397","glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","21","0.581","0.499","0.577","0.581"
"sc_glycolysis_wp253_69832","glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","13","0.323","0.260","0.148","0.323"
"sc_histidine_biosynthesis_wp514_71894","histidine_biosynthesis,_prpp_=>_histidine","25","0.710","0.044","0.003","0.710"
"sc_homocysteine_and_cysteine_interconversion_wp128_69755","cysteine_biosynthesis,_homocysteine_+_serine_=>_cysteine","27","0.774","0.005","0.000","0.774"
"sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","31","0.903","0.070","0.008","0.903"
"sc_isoleucine_and_valine_biosynthesis_wp359_69861","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","26","0.742","0.047","0.003","0.742"
"sc_isoleucine_biosynthesis_wp250_69831","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","27","0.774","0.026","0.001","0.774"
"sc_isoleucine_degradation_wp178_69780","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","20","0.548","0.026","0.001","0.548"
"sc_lactose_degradation_wp546_69943","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","22","0.613","0.018","0.000","0.613"
"sc_leucine_biosynthesis_wp180_69807","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","24","0.677","0.023","0.001","0.677"
"sc_leucine_degradation_wp354_70265","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","18","0.484","0.010","0.000","0.484"
"sc_lipases_biosynthesis_wp71_70049","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","21","0.581","0.008","0.000","0.581"
"sc_lysine_biosynthesis_wp533_69940","lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","23","0.645","0.045","0.003","0.645"
"sc_m-cresol_degradation_wp172_69778","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","18","0.484","0.015","0.000","0.484"
"sc_mapk_signaling_pathway_wp510_78392","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","18","0.484","0.142","0.032","0.484"
"sc_methionine_degradation_wp46_69881","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","20","0.548","0.010","0.000","0.548"
"sc_mitochondrial_trna_synthetases_wp62_76238","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","20","0.548","0.077","0.010","0.548"
"sc_nad_biosynthesis_wp84_71345","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","20","0.548","0.017","0.000","0.548"
"sc_nad_salvage_pathway_wp171_73683","c5_isoprenoid_biosynthesis,_mevalonate_pathway","18","0.484","0.030","0.001","0.484"
"sc_non-oxidative_branch_of_the_pentose_pathway_wp379_69866","pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","28","0.806","0.038","0.002","0.806"
"sc_nucleotide_metabolism_wp321_71895","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","19","0.516","0.045","0.003","0.516"
"sc_octane_oxidation_wp552_69954","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","19","0.516","0.053","0.004","0.516"
"sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","pentose_phosphate_pathway_(pentose_phosphate_cycle)","30","0.871","0.026","0.001","0.871"
"sc_p-cymene_degradation_wp181_69808","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","18","0.484","0.015","0.000","0.484"
"sc_p-hydroxybenzoate_biosynthesis_wp315_69851","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","26","0.742","0.000","0.000","0.742"
"sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","28","0.806","0.030","0.001","0.806"
"sc_pathways_of_chorismate_wp213_71175","shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","23","0.645","0.093","0.013","0.645"
"sc_pentose_phosphate_pathway_2_wp670_73392","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","30","0.871","0.061","0.006","0.871"
"sc_pentose_phosphate_pathway_wp369_69863","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","29","0.839","0.052","0.004","0.839"
"sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","29","0.839","0.052","0.004","0.839"
"sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","29","0.839","0.018","0.000","0.839"
"sc_phenylalanine_biosynthesis_wp194_69817","phenylalanine_biosynthesis,_chorismate_=>_phenylalanine","28","0.806","0.008","0.000","0.806"
"sc_phenylalanine_degradation_wp573_74213","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","20","0.548","0.028","0.001","0.548"
"sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","32","0.935","0.040","0.002","0.935"
"sc_phospholipid_biosynthesis_wp9_69581","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","26","0.742","0.023","0.001","0.742"
"sc_polyamine_biosynthesis_wp290_69849","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","25","0.710","0.010","0.000","0.710"
"sc_principle_pathways_of_carbon_metabolism_wp112_78138","pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","25","0.710","0.275","0.149","0.710"
"sc_proteasome_degradation_wp158_77442","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","20","0.548","0.091","0.013","0.548"
"sc_protein_modifications_wp346_69859","pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","19","0.516","0.045","0.003","0.516"
"sc_purine_fermentation_wp463_73550","isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","16","0.419","0.030","0.001","0.419"
"sc_pyruvate_dehydrogenase_pathway_wp214_69823","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","21","0.581","0.010","0.000","0.581"
"sc_riboflavin,_fmn,_and_fad_biosynthesis_wp381_71896","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","24","0.677","0.020","0.001","0.677"
"sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","24","0.677","0.034","0.002","0.677"
"sc_rump_cycle_and_formaldehyde_assimilation_wp332_71344","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","23","0.645","0.042","0.003","0.645"
"sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","29","0.839","0.026","0.001","0.839"
"sc_serine-isocitrate_lyase_pathway_wp390_69869","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","22","0.613","0.042","0.003","0.613"
"sc_serine_and_glycine_biosynthesis_wp218_69824","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","25","0.710","0.015","0.000","0.710"
"sc_serine_biosynthesis_wp459_69877","serine_biosynthesis,_glycerate-3p_=>_serine","22","0.613","0.010","0.000","0.613"
"sc_sphingolipid_metabolism_wp370_76472","phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","19","0.516","0.038","0.002","0.516"
"sc_starch_and_cellulose_biosynthesis_wp257_69834","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23","0.645","0.013","0.000","0.645"
"sc_sucrose_biosynthesis_wp14_69669","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","21","0.581","0.006","0.000","0.581"
"sc_sulfate_assimilation_pathway_ii_wp579_70251","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","23","0.645","0.015","0.000","0.645"
"sc_sulfur_amino_acid_biosynthesis_wp7_70252","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","24","0.677","0.069","0.008","0.677"
"sc_sulfur_degradation_wp440_69875","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","17","0.452","0.010","0.000","0.452"
"sc_superpathway_of_glutamate_biosynthesis_wp191_69812","lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","28","0.806","0.039","0.002","0.806"
"sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","30","0.871","0.184","0.064","0.871"
"sc_tca_cycle_-_detailed_wp296_76239","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","19","0.516","0.119","0.026","0.516"
"sc_tca_cycle_wp490_78394","citrate_cycle_(tca_cycle,_krebs_cycle)","13","0.323","0.426","0.424","0.323"
"sc_threonine_and_methionine_biosynthesis_wp423_69874","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","27","0.774","0.020","0.001","0.774"
"sc_threonine_biosynthesis_wp331_70271","threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","25","0.710","0.016","0.000","0.710"
"sc_toluene_degradation_wp60_78389","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","19","0.516","0.015","0.000","0.516"
"sc_translation_factors_wp32_71347","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","18","0.484","0.088","0.012","0.484"
"sc_trehalose_biosynthesis_wp239_70272","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23","0.645","0.010","0.000","0.645"
"sc_trehalose_degradation,_low_osmolarity_wp70_70048","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","28","0.806","0.013","0.000","0.806"
"sc_triglyceride_biosynthesis_wp266_69843","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","24","0.677","0.020","0.001","0.677"
"sc_tryptophan_biosynthesis_wp165_71899","tryptophan_biosynthesis,_chorismate_=>_tryptophan","25","0.710","0.019","0.000","0.710"
"sc_tryptophan_degradation_via_kynurenine_wp452_70274","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","22","0.613","0.015","0.000","0.613"
"sc_tryptophan_degradation_wp301_67723","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","19","0.516","0.030","0.001","0.516"
"sc_tyrosine_biosynthesis_wp538_69941","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23","0.645","0.010","0.000","0.645"
"sc_ubiquinone_biosynthesis_wp308_69850","ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","25","0.710","0.031","0.001","0.710"
"sc_udp-glucose_conversion_wp109_69750","phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","17","0.452","0.009","0.000","0.452"
"sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","29","0.839","0.010","0.000","0.839"
"sc_upiquinone_q_prenylation_wp287_69848","ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","19","0.516","0.019","0.000","0.516"
"sc_valine_biosynthesis_wp2_78390","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","23","0.645","0.019","0.000","0.645"
"sc_xylulose-monophosphate_cycle_wp361_69862","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","22","0.613","0.028","0.001","0.613"
