"intpathway","kegg","LCS","Gene Agreement","GenePair Agreement"
"fatty_acid_oxidation","sln1-ypd1-ssk1/skn7_(osmosensing)_two-component_regulatory_system","8","0.965","1.000"
"fatty_acid_oxidation","pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","13","0.965","1.000"
"fatty_acid_oxidation","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","14","0.965","1.000"
"fatty_acid_oxidation","c1-unit_interconversion,_eukaryotes","8","0.965","1.000"
"fatty_acid_oxidation","lysine_biosynthesis,_2-oxoglutarate_=>_2-oxoadipate","9","0.965","1.000"
"fatty_acid_oxidation","gaba_(gamma-aminobutyrate)_shunt","8","0.965","1.000"
"fatty_acid_oxidation","n-glycosylation_by_oligosaccharyltransferase","9","0.965","1.000"
"fatty_acid_oxidation","coenzyme_a_biosynthesis,_pantothenate_=>_coa","10","0.965","1.000"
"fatty_acid_oxidation","fatty_acid_biosynthesis,_initiation","18","0.965","1.000"
"fatty_acid_oxidation","gpi-anchor_biosynthesis,_core_oligosaccharide","9","0.965","1.000"
"fatty_acid_oxidation","pentose_phosphate_pathway_(pentose_phosphate_cycle)","9","0.965","1.000"
"fatty_acid_oxidation","adenine_ribonucleotide_biosynthesis,_imp_=>_adp,atp","11","0.965","1.000"
"fatty_acid_oxidation","pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","10","0.965","1.000"
"fatty_acid_oxidation","fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","18","0.965","1.000"
"fatty_acid_oxidation","p97-ufd1-npl4_complex","5","0.965","1.000"
"fatty_acid_oxidation","nucleotide_sugar_biosynthesis,_galactose_=>_udp-galactose","10","0.965","1.000"
"fatty_acid_oxidation","citrate_cycle_(tca_cycle,_krebs_cycle)","7","0.965","1.000"
"fatty_acid_oxidation","glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","9","0.965","1.000"
"fatty_acid_oxidation","methionine_salvage_pathway","6","0.965","1.000"
"fatty_acid_oxidation","apc/c_complex","5","0.965","1.000"
"fatty_acid_oxidation","rna_polymerase_ii,_eukaryotes","7","0.965","1.000"
"fatty_acid_oxidation","ornithine_biosynthesis,_glutamate_=>_ornithine","10","0.965","1.000"
"fatty_acid_oxidation","assimilatory_sulfate_reduction,_sulfate_=>_h2s","11","0.965","1.000"
"fatty_acid_oxidation","eif4f_complex","5","0.965","1.000"
"fatty_acid_oxidation","uridine_monophosphate_biosynthesis,_glutamine_(+_prpp)_=>_ump","9","0.965","1.000"
"fatty_acid_oxidation","prpp_biosynthesis,_ribose_5p_=>_prpp","6","0.965","1.000"
"fatty_acid_oxidation","dna_damage-induced_cell_cycle_checkpoints","9","0.965","1.000"
"fatty_acid_oxidation","copii_complex","5","0.965","1.000"
"fatty_acid_oxidation","ergocalciferol_biosynthesis","7","0.965","1.000"
"fatty_acid_oxidation","rna_polymerase_iii,_eukaryotes","7","0.965","1.000"
"fatty_acid_oxidation","cysteine_biosynthesis,_homocysteine_+_serine_=>_cysteine","10","0.965","1.000"
"fatty_acid_oxidation","scf-met30_complex","6","0.965","1.000"
"fatty_acid_oxidation","phenylalanine_biosynthesis,_chorismate_=>_phenylalanine","10","0.965","1.000"
"fatty_acid_oxidation","tramp_complex","5","0.965","1.000"
"fatty_acid_oxidation","histidine_biosynthesis,_prpp_=>_histidine","9","0.965","1.000"
"fatty_acid_oxidation","ribosome,_eukaryotes","4","0.965","1.000"
"fatty_acid_oxidation","escrt-ii_complex","5","0.965","1.000"
"fatty_acid_oxidation","tryptophan_biosynthesis,_chorismate_=>_tryptophan","11","0.965","1.000"
"fatty_acid_oxidation","proteasome,_20s_core_particle","7","0.965","1.000"
"fatty_acid_oxidation","c10-c20_isoprenoid_biosynthesis,_non-plant_eukaryotes","9","0.965","1.000"
"fatty_acid_oxidation","nucleotide_sugar_biosynthesis,_glucose_=>_udp-glucose","8","0.965","1.000"
"fatty_acid_oxidation","fatty_acid_biosynthesis,_elongation","18","0.965","1.000"
"fatty_acid_oxidation","rna_polymerase_i,_eukaryotes","7","0.965","1.000"
"fatty_acid_oxidation","exosome,_eukaryotes","4","0.965","1.000"
"fatty_acid_oxidation","dna_polymerase_epsilon_complex","7","0.965","1.000"
"fatty_acid_oxidation","leucine_biosynthesis,_2-oxoisovalerate_=>_2-oxoisocaproate","10","0.965","1.000"
"fatty_acid_oxidation","n-glycan_precursor_biosynthesis","7","0.965","1.000"
"fatty_acid_oxidation","cytochrome_bc1_complex_respiratory_unit","11","0.965","1.000"
"fatty_acid_oxidation","dna_polymerase_zeta  complex","7","0.965","1.000"
"fatty_acid_oxidation","polyamine_biosynthesis,_arginine_=>_ornithine_=>_putrescine","11","0.965","1.000"
"fatty_acid_oxidation","ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","11","0.965","1.000"
"fatty_acid_oxidation","pyruvate_oxidation,_pyruvate_=>_acetyl-coa","12","0.965","1.000"
"fatty_acid_oxidation","scf-cdc4_complex","6","0.965","1.000"
"glycine_biosynthesis_from_threonine","c5_isoprenoid_biosynthesis,_mevalonate_pathway","22","0.965","1.000"
"glycine_biosynthesis_from_threonine","gluconeogenesis,_oxaloacetate_=>_fructose-6p","17","0.965","1.000"
"glycine_biosynthesis_from_threonine","aminoacyl-trna_biosynthesis,_eukaryotes","20","0.965","1.000"
"glycine_biosynthesis_from_threonine","scf-grr1_complex","6","0.965","1.000"
"glycine_biosynthesis_from_threonine","shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","17","0.965","1.000"
"glycine_biosynthesis_from_threonine","n-glycan_biosynthesis,_high-mannose_type","23","0.965","1.000"
"glycine_biosynthesis_from_threonine","cell_cycle_-_g1/s_transition","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","16","0.965","1.000"
"glycine_biosynthesis_from_threonine","succinate_dehydrogenase_(ubiquinone)","13","0.965","1.000"
"glycine_biosynthesis_from_threonine","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","17","0.965","1.000"
"glycine_biosynthesis_from_threonine","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","16","0.965","1.000"
"glycine_biosynthesis_from_threonine","beta-oxidation,_acyl-coa_synthesis","13","0.965","1.000"
"glycine_biosynthesis_from_threonine","escrt-0_complex","7","0.965","1.000"
"glycine_biosynthesis_from_threonine","proline_biosynthesis,_glutamate_=>_proline","25","0.965","1.000"
"glycine_biosynthesis_from_threonine","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","20","0.965","1.000"
"glycine_biosynthesis_from_threonine","glyoxylate_cycle","9","0.965","1.000"
"glycine_biosynthesis_from_threonine","exosome,_archaea","8","0.965","1.000"
"glycine_biosynthesis_from_threonine","isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","28","0.965","1.000"
"glycine_biosynthesis_from_threonine","camp_signaling","7","0.965","1.000"
"glycine_biosynthesis_from_threonine","f-type_atpase,_eukaryotes","10","0.965","1.000"
"glycine_biosynthesis_from_threonine","sphingosine_degradation","11","0.965","1.000"
"glycine_biosynthesis_from_threonine","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","23","0.965","1.000"
"glycine_biosynthesis_from_threonine","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","21","0.965","1.000"
"glycine_biosynthesis_from_threonine","phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","24","0.965","1.000"
"glycine_biosynthesis_from_threonine","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","15","0.965","1.000"
"glycine_biosynthesis_from_threonine","ski_complex","6","0.965","1.000"
"glycine_biosynthesis_from_threonine","mrx_complex","4","0.965","1.000"
"glycine_biosynthesis_from_threonine","phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","24","0.965","1.000"
"glycine_biosynthesis_from_threonine","lsm_1-7_complex","6","0.965","1.000"
"glycine_biosynthesis_from_threonine","glycolysis,_core_module_involving_three-carbon_compounds","20","0.965","1.000"
"glycine_biosynthesis_from_threonine","sm_core_complex","7","0.965","1.000"
"glycine_biosynthesis_from_threonine","cell_cycle_-_g2/m_transition","13","0.965","1.000"
"glycine_biosynthesis_from_threonine","dna_polymerase_alpha_/_primase_complex","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","decapping_complex","7","0.965","1.000"
"glycine_biosynthesis_from_threonine","sec61_complex","6","0.965","1.000"
"glycine_biosynthesis_from_threonine","mcm_complex","5","0.965","1.000"
"glycine_biosynthesis_from_threonine","spliceosome,_u1-snrnp","10","0.965","1.000"
"glycine_biosynthesis_from_threonine","cap_binding_complex","10","0.965","1.000"
"glycine_biosynthesis_from_threonine","h/aca_ribonucleoprotein_complex","13","0.965","1.000"
"glycine_biosynthesis_from_threonine","origin_recognition_complex","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","n-glycan_precursor_trimming","14","0.965","1.000"
"glycine_biosynthesis_from_threonine","gins_complex","8","0.965","1.000"
"glycine_biosynthesis_from_threonine","tetrahydrofolate_biosynthesis,_gtp_=>_thf","19","0.965","1.000"
"glycine_biosynthesis_from_threonine","lsm_2-8_complex","6","0.965","1.000"
"glycine_biosynthesis_from_threonine","proteasome,_19s_regulatory_particle_(pa700)","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","rf-c_complex","5","0.965","1.000"
"glycine_biosynthesis_from_threonine","lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","28","0.965","1.000"
"glycine_biosynthesis_from_threonine","threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","30","0.965","1.000"
"glycine_biosynthesis_from_threonine","phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","20","0.965","1.000"
"glycine_biosynthesis_from_threonine","holo-tfiih_complex","8","0.965","1.000"
"glycine_biosynthesis_from_threonine","serine_biosynthesis,_glycerate-3p_=>_serine","23","0.965","1.000"
"glycine_biosynthesis_from_threonine","cytochrome_bc1_complex","10","0.965","1.000"
"glycine_biosynthesis_from_threonine","escrt-iii_complex","8","0.965","1.000"
"glycine_biosynthesis_from_threonine","sln1-ypd1-ssk1/skn7_(osmosensing)_two-component_regulatory_system","17","0.965","1.000"
"glycine_biosynthesis_from_threonine","pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","18","0.965","1.000"
"glycine_biosynthesis_from_threonine","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","27","0.965","1.000"
"glycine_biosynthesis_from_threonine","c1-unit_interconversion,_eukaryotes","14","0.965","1.000"
"glycine_biosynthesis_from_threonine","lysine_biosynthesis,_2-oxoglutarate_=>_2-oxoadipate","26","0.965","1.000"
"glycine_biosynthesis_from_threonine","gaba_(gamma-aminobutyrate)_shunt","10","0.965","1.000"
"glycine_biosynthesis_from_threonine","n-glycosylation_by_oligosaccharyltransferase","17","0.965","1.000"
"glycine_biosynthesis_from_threonine","coenzyme_a_biosynthesis,_pantothenate_=>_coa","23","0.965","1.000"
"glycine_biosynthesis_from_threonine","fatty_acid_biosynthesis,_initiation","20","0.965","1.000"
"glycine_biosynthesis_from_threonine","gpi-anchor_biosynthesis,_core_oligosaccharide","23","0.965","1.000"
"glycine_biosynthesis_from_threonine","pentose_phosphate_pathway_(pentose_phosphate_cycle)","14","0.965","1.000"
"glycine_biosynthesis_from_threonine","adenine_ribonucleotide_biosynthesis,_imp_=>_adp,atp","20","0.965","1.000"
"glycine_biosynthesis_from_threonine","pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","21","0.965","1.000"
"glycine_biosynthesis_from_threonine","fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","23","0.965","1.000"
"glycine_biosynthesis_from_threonine","p97-ufd1-npl4_complex","5","0.965","1.000"
"glycine_biosynthesis_from_threonine","nucleotide_sugar_biosynthesis,_galactose_=>_udp-galactose","22","0.965","1.000"
"glycine_biosynthesis_from_threonine","citrate_cycle_(tca_cycle,_krebs_cycle)","11","0.965","1.000"
"glycine_biosynthesis_from_threonine","glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","17","0.965","1.000"
"glycine_biosynthesis_from_threonine","methionine_salvage_pathway","9","0.965","1.000"
"glycine_biosynthesis_from_threonine","apc/c_complex","5","0.965","1.000"
"glycine_biosynthesis_from_threonine","rna_polymerase_ii,_eukaryotes","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","ornithine_biosynthesis,_glutamate_=>_ornithine","25","0.965","1.000"
"glycine_biosynthesis_from_threonine","assimilatory_sulfate_reduction,_sulfate_=>_h2s","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","eif4f_complex","6","0.965","1.000"
"glycine_biosynthesis_from_threonine","uridine_monophosphate_biosynthesis,_glutamine_(+_prpp)_=>_ump","21","0.965","1.000"
"glycine_biosynthesis_from_threonine","prpp_biosynthesis,_ribose_5p_=>_prpp","18","0.965","1.000"
"glycine_biosynthesis_from_threonine","dna_damage-induced_cell_cycle_checkpoints","13","0.965","1.000"
"glycine_biosynthesis_from_threonine","copii_complex","7","0.965","1.000"
"glycine_biosynthesis_from_threonine","ergocalciferol_biosynthesis","18","0.965","1.000"
"glycine_biosynthesis_from_threonine","rna_polymerase_iii,_eukaryotes","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","cysteine_biosynthesis,_homocysteine_+_serine_=>_cysteine","26","0.965","1.000"
"glycine_biosynthesis_from_threonine","scf-met30_complex","7","0.965","1.000"
"glycine_biosynthesis_from_threonine","phenylalanine_biosynthesis,_chorismate_=>_phenylalanine","27","0.965","1.000"
"glycine_biosynthesis_from_threonine","tramp_complex","6","0.965","1.000"
"glycine_biosynthesis_from_threonine","histidine_biosynthesis,_prpp_=>_histidine","23","0.965","1.000"
"glycine_biosynthesis_from_threonine","ribosome,_eukaryotes","10","0.965","1.000"
"glycine_biosynthesis_from_threonine","escrt-ii_complex","8","0.965","1.000"
"glycine_biosynthesis_from_threonine","tryptophan_biosynthesis,_chorismate_=>_tryptophan","23","0.965","1.000"
"glycine_biosynthesis_from_threonine","proteasome,_20s_core_particle","11","0.965","1.000"
"glycine_biosynthesis_from_threonine","c10-c20_isoprenoid_biosynthesis,_non-plant_eukaryotes","22","0.965","1.000"
"glycine_biosynthesis_from_threonine","nucleotide_sugar_biosynthesis,_glucose_=>_udp-glucose","21","0.965","1.000"
"glycine_biosynthesis_from_threonine","fatty_acid_biosynthesis,_elongation","22","0.965","1.000"
"glycine_biosynthesis_from_threonine","rna_polymerase_i,_eukaryotes","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","exosome,_eukaryotes","9","0.965","1.000"
"glycine_biosynthesis_from_threonine","dna_polymerase_epsilon_complex","11","0.965","1.000"
"glycine_biosynthesis_from_threonine","leucine_biosynthesis,_2-oxoisovalerate_=>_2-oxoisocaproate","25","0.965","1.000"
"glycine_biosynthesis_from_threonine","n-glycan_precursor_biosynthesis","19","0.965","1.000"
"glycine_biosynthesis_from_threonine","cytochrome_bc1_complex_respiratory_unit","14","0.965","1.000"
"glycine_biosynthesis_from_threonine","dna_polymerase_zeta  complex","10","0.965","1.000"
"glycine_biosynthesis_from_threonine","polyamine_biosynthesis,_arginine_=>_ornithine_=>_putrescine","28","0.965","1.000"
"glycine_biosynthesis_from_threonine","ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","27","0.965","1.000"
"glycine_biosynthesis_from_threonine","pyruvate_oxidation,_pyruvate_=>_acetyl-coa","12","0.965","1.000"
"glycine_biosynthesis_from_threonine","scf-cdc4_complex","5","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","c5_isoprenoid_biosynthesis,_mevalonate_pathway","17","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","gluconeogenesis,_oxaloacetate_=>_fructose-6p","20","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","aminoacyl-trna_biosynthesis,_eukaryotes","17","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","scf-grr1_complex","8","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","27","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","n-glycan_biosynthesis,_high-mannose_type","17","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","cell_cycle_-_g1/s_transition","13","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","22","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","succinate_dehydrogenase_(ubiquinone)","16","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","27","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","23","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","beta-oxidation,_acyl-coa_synthesis","18","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","escrt-0_complex","7","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","proline_biosynthesis,_glutamate_=>_proline","19","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","glyoxylate_cycle","11","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","exosome,_archaea","10","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","26","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","camp_signaling","8","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","f-type_atpase,_eukaryotes","15","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sphingosine_degradation","14","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","20","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","21","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","21","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","28","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","ski_complex","6","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","mrx_complex","5","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","25","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","lsm_1-7_complex","7","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","glycolysis,_core_module_involving_three-carbon_compounds","22","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sm_core_complex","8","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","cell_cycle_-_g2/m_transition","13","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","dna_polymerase_alpha_/_primase_complex","17","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","decapping_complex","8","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sec61_complex","6","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","mcm_complex","4","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","spliceosome,_u1-snrnp","11","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","cap_binding_complex","11","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","h/aca_ribonucleoprotein_complex","14","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","origin_recognition_complex","13","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","n-glycan_precursor_trimming","11","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","gins_complex","7","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","tetrahydrofolate_biosynthesis,_gtp_=>_thf","17","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","lsm_2-8_complex","7","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","proteasome,_19s_regulatory_particle_(pa700)","17","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","rf-c_complex","5","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","30","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","24","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","18","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","holo-tfiih_complex","10","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","serine_biosynthesis,_glycerate-3p_=>_serine","18","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","cytochrome_bc1_complex","9","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","escrt-iii_complex","9","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sln1-ypd1-ssk1/skn7_(osmosensing)_two-component_regulatory_system","21","0.965","1.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","29","0.965","1.000"
