"Weight set: ","[0.0, 0.1, 0.0, 0.0]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"beta-alanine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.420","0.098","0.042"
"biosynthesis_of_secondary_metabolites","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","1.000","0.000","0.100"
"biosynthesis_of_unsaturated_fatty_acids","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.458","0.000","0.046"
"biotin_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.184","0.017","0.018"
"biotin_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.335","0.050","0.034"
"butanediol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.066","0.000","0.007"
"butanediol_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.066","0.000","0.007"
"butanoate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.745","0.050","0.074"
"carbon_monoxide_dehydrogenase_pathway","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.127","0.000","0.013"
"carnitine_shuttle","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.184","0.025","0.018"
"cell_cycle_-_yeast","sc_cytoplasmic_ribosomal_proteins_wp210_70142","9","0.146","1.000","0.658","0.100"
"cell_cycle_and_cell_division","sc_cytoplasmic_ribosomal_proteins_wp210_70142","12","0.208","0.998","0.000","0.100"
"chitin_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.184","0.050","0.018"
"chitosan_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.127","0.000","0.013"
"cholesterol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.588","0.000","0.059"
"chorismate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.058","0.024"
"citrate_cycle_(tca_cycle)","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.896","0.593","0.090"
"citrulline_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.184","0.009","0.018"
"colanic_acid_building_blocks_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.379","0.000","0.038"
"cyanoamino_acid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.458","0.000","0.046"
"cysteine_and_methionine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.880","0.571","0.088"
"cysteine_biosynthesis/homocysteine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.127","0.009","0.013"
"cysteine_biosynthesis_from_homoserine","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.238","0.009","0.024"
"cytoplasmic_ribosomal_proteins","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","1.000","0.000","0.100"
"cytoplasmic_trna_synthetases","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.727","0.000","0.073"
"de_novo_biosyn._of_pyrimidine_deoxyribonucleotides","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.420","0.000","0.042"
"de_novo_biosynthesis_of_purine_nucleotides","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.819","0.560","0.082"
"de_novo_biosynthesis_of_pyrimidine_ribonucleotides","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.745","0.193","0.074"
"dehydro-d-arabinono-1,4-lactone_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.184","0.000","0.018"
"dna_replication","sc_principle_pathways_of_carbon_metabolism_wp112_78138","8","0.125","0.818","0.000","0.082"
"dolichyl_glucosyl_phosphate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.288","0.066","0.029"
"dolichyl_phosphate_d-mannose_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.238","0.034","0.024"
"endocytosis","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.921","0.135","0.092"
"ergosterol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.778","0.233","0.078"
"ethanol_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.050","0.024"
"ether_lipid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.288","0.025","0.029"
"eukaryotic_transcription_initiation","sc_cytoplasmic_ribosomal_proteins_wp210_70142","13","0.229","0.846","0.000","0.085"
"fatty_acid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.058","0.024"
"fatty_acid_biosynthesis,_initial_steps","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.379","0.074","0.038"
"fatty_acid_elongation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.288","0.066","0.029"
"fatty_acid_elongation,","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.000","0.024"
"fatty_acid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.686","0.213","0.069"
"fatty_acid_oxidation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.494","0.259","0.049"
"folate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.745","0.348","0.074"
"folate_interconversions","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.558","0.265","0.056"
"folate_polyglutamylation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.420","0.199","0.042"
"folate_transformations","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.527","0.233","0.053"
"folic_acid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.494","0.000","0.049"
"formaldehyde_oxidation_ii_(glutathione-dependent)","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.184","0.017","0.018"
"fructose_and_mannose_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.842","0.455","0.084"
"fructose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.025","0.013"
"galactose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.288","0.058","0.029"
"galactose_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.792","0.186","0.079"
"genes_of_meiotic_recombination","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.664","0.000","0.066"
"glucose-1-phosphate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.000","0.024"
"glucose-6-phosphate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.184","0.050","0.018"
"glucose_fermentation","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.896","0.633","0.090"
"glutamate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.379","0.009","0.038"
"glutamate_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.727","0.017","0.073"
"glutamine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.184","0.009","0.018"
"glutathione-glutaredoxin_redox_reaction","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.527","0.120","0.053"
"glutathione-glutaredoxin_system","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.335","0.000","0.034"
"glutathione_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.009","0.013"
"glutathione_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.792","0.206","0.079"
"glycerol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.288","0.050","0.029"
"glycerol_degradation","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.127","0.017","0.013"
"glycerol_teichoic_acid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.238","0.000","0.024"
"glycerolipid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.686","0.226","0.069"
"glycerophospholipid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.863","0.396","0.086"
"glycine,_serine_and_threonine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.806","0.441","0.081"
"glycine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.000","0.024"
"glycine_biosynthesis_from_serine","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.127","0.009","0.013"
"glycine_biosynthesis_from_threonine","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.066","0.000","0.007"
"glycine_cleavage_complex","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.184","0.034","0.018"
"glycine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.238","0.000","0.024"
"glycogen_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.458","0.128","0.046"
"glycogen_catabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.288","0.042","0.029"
"glycolysis_and_gluconeogenesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.985","0.840","0.099"
"glyoxylate_and_dicarboxylate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.640","0.296","0.064"
"glyoxylate_cycle","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.420","0.113","0.042"
"heme_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.494","0.025","0.049"
"hexaprenyl_diphosphate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.288","0.034","0.029"
"histidine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.379","0.098","0.038"
"histidine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.640","0.082","0.064"
"homocysteine_and_cysteine_interconversion","sc_cell_cycle_and_cell_division_wp414_78393","17","0.313","0.238","0.050","0.024"
"homocysteine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.009","0.013"
"homologous_recombination","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.727","0.000","0.073"
"homoserine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.184","0.017","0.018"
"inositol_phosphate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.948","0.325","0.095"
"inositol_phosphate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.640","0.128","0.064"
"l-serine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.066","0.009","0.007"
"lactose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.379","0.000","0.038"
"limonene_and_pinene_degradation","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.288","0.000","0.029"
"lipases_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.000","0.024"
"lipid-linked_oligosaccharide_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.588","0.143","0.059"
"lipoic_acid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.184","0.025","0.018"
"lysine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.527","0.135","0.053"
"lysine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.615","0.074","0.061"
"m-cresol_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.335","0.000","0.034"
"mannose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.074","0.024"
"mapk_signaling_pathway","sc_cytoplasmic_ribosomal_proteins_wp210_70142","9","0.146","0.969","0.349","0.097"
"meiosis_-_yeast","sc_cytoplasmic_ribosomal_proteins_wp210_70142","8","0.125","1.000","0.716","0.100"
"metabolic_pathways","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","1.000","0.000","0.100"
"methane_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.863","0.278","0.086"
"methionine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.379","0.009","0.038"
"methionine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.000","0.024"
"methionine_salvage_pathway","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.615","0.066","0.061"
"methylglyoxal_catabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.184","0.025","0.018"
"mevalonate_pathway","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.458","0.098","0.046"
"mismatch_repair","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.727","0.000","0.073"
"mitochondrial_trna_synthetases","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.615","0.000","0.061"
"mrna_surveillance_pathway","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.888","0.179","0.089"
"myristate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.184","0.042","0.018"
"n-glycan_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.940","0.359","0.094"
"nad_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.494","0.082","0.049"
"nad_salvage_pathway","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.494","0.025","0.049"
"nicotinate_and_nicotinamide_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.379","0.082","0.038"
"nitrogen_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.664","0.455","0.066"
"non-homologous_end-joining","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.494","0.000","0.049"
"non-oxidative_branch_of_the_pentose_pathway","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.458","0.000","0.046"
"nucleotide_excision_repair","sc_cytoplasmic_ribosomal_proteins_wp210_70142","11","0.188","0.886","0.000","0.089"
"nucleotide_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.931","0.391","0.093"
"octane_oxidation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.288","0.000","0.029"
"oleate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.066","0.009","0.007"
"one_carbon_pool_by_folate","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.640","0.465","0.064"
"other_glycan_degradation","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.066","0.000","0.007"
"other_types_of_o-glycan_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.588","0.000","0.059"
"oxidative_phosphorylation","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.988","0.391","0.099"
"p-aminobenzoate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.127","0.000","0.013"
"p-cymene_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.335","0.000","0.034"
"palmitoleate_and_palmitate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.238","0.050","0.024"
"pantothenate_and_coa_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.727","0.157","0.073"
"pathways_of_chorismate","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.819","0.000","0.082"
"pentose_and_glucuronate_interconversions","sc_cell_cycle_and_cell_division_wp414_78393","16","0.292","0.494","0.025","0.049"
"pentose_phosphate_pathway","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.853","0.579","0.085"
"pentosephosphatweg","sc_cell_cycle_and_cell_division_wp414_78393","5","0.063","0.558","0.066","0.056"
"periplasmic_nad_degradation","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.066","0.000","0.007"
"peroxisome","sc_cytoplasmic_ribosomal_proteins_wp210_70142","7","0.104","0.855","0.000","0.085"
"phagosome","sc_cell_cycle_and_cell_division_wp414_78393","3","0.021","0.903","0.042","0.090"
"phenylalanine,_tyrosine,_tryptophan_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.686","0.343","0.069"
"phenylalanine_and_tyrosine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.288","0.000","0.029"
"phenylalanine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.042","0.024"
"phenylalanine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.558","0.186","0.056"
"phenylalanine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.458","0.058","0.046"
"phosphatidate_biosynthesis_i_(the_dihydroxyacetone_pathway)","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.238","0.009","0.024"
"phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.288","0.009","0.029"
"phosphatidylinositol_signaling_system","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.640","0.193","0.064"
"phospholipid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.615","0.105","0.061"
"phospholipids_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.184","0.025","0.018"
"polyamine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.000","0.024"
"porphyrin_and_chlorophyll_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.664","0.135","0.066"
"principle_pathways_of_carbon_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.996","0.000","0.100"
"proline_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.184","0.017","0.018"
"proline_utilization","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.025","0.013"
"propanoate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.527","0.009","0.053"
"proteasome","sc_cytoplasmic_ribosomal_proteins_wp210_70142","7","0.104","0.926","0.000","0.093"
"protein_export","sc_cell_cycle_and_cell_division_wp414_78393","5","0.063","0.762","0.000","0.076"
"protein_modifications","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.558","0.000","0.056"
"protein_processing_in_endoplasmic_reticulum","sc_cytoplasmic_ribosomal_proteins_wp210_70142","14","0.250","0.992","0.391","0.099"
"purine_fermentation","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.238","0.000","0.024"
"purine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.998","0.957","0.100"
"putrescine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.066","0.000","0.007"
"pyridoxal_5'-phosphate_salvage_pathway","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.009","0.013"
"pyrimidine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.992","0.818","0.099"
"pyruvate_dehydrogenase_complex","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.017","0.024"
"pyruvate_dehydrogenase_pathway","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.000","0.024"
"pyruvate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.896","0.685","0.090"
"regulation_of_autophagy","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.686","0.113","0.069"
"removal_of_superoxide_radicals","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.009","0.024"
"riboflavin,_fmn_and_fad_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.420","0.025","0.042"
"riboflavin_metabolism","sc_cytoplasmic_ribosomal_proteins_wp210_70142","10","0.167","0.568","0.102","0.057"
"ribose_and_deoxyribose_phosphate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.288","0.000","0.029"
"ribosome","sc_cell_cycle_and_cell_division_wp414_78393","3","0.021","1.000","0.000","0.100"
"ribosome_biogenesis_in_eukaryotes","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.994","0.386","0.099"
"rna_degradation","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.980","0.348","0.098"
"rna_polymerase","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.863","0.000","0.086"
"rna_transport","sc_cytoplasmic_ribosomal_proteins_wp210_70142","7","0.104","0.990","0.449","0.099"
"rump_cycle_and_formaldehyde_assimilation","sc_cell_cycle_and_cell_division_wp414_78393","18","0.333","0.238","0.000","0.024"
"s-adenosylmethionine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.127","0.000","0.013"
"s-adenosylmethionine_cycle","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.025","0.024"
"salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.379","0.135","0.038"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.184","0.017","0.018"
"salvage_pathways_of_purines_and_their_nucleosides","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.458","0.157","0.046"
"salvage_pathways_of_pyrimidine_ribonucleotides","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.335","0.058","0.034"
"selenocompound_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.558","0.120","0.056"
"serine-isocitrate_lyase_pathway","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.707","0.000","0.071"
"serine_and_glycine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.420","0.074","0.042"
"serine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.000","0.024"
"serine_biosynthesis_from_3-phosphoglycerate","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.238","0.034","0.024"
"serine_biosynthesis_from_glyoxylate","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.127","0.009","0.013"
"snare_interactions_in_vesicular_transport","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.792","0.186","0.079"
"spermine,_spermidine_and_methylthioadenosine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","16","0.292","0.184","0.017","0.018"
"sphingolipid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.727","0.226","0.073"
"spliceosome","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.992","0.000","0.099"
"starch_and_cellulose_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.288","0.000","0.029"
"starch_and_sucrose_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.936","0.750","0.094"
"stearate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.066","0.024"
"steroid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.640","0.090","0.064"
"sucrose_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.335","0.000","0.034"
"sucrose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.066","0.000","0.007"
"sulfate_assimilation_pathway","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.458","0.017","0.046"
"sulfur_amino_acid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.615","0.000","0.061"
"sulfur_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.000","0.024"
"sulfur_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.640","0.143","0.064"
"sulfur_relay_system","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.420","0.050","0.042"
"superpathway_of_acetoin_and_butanediol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","16","0.292","0.335","0.000","0.034"
"superpathway_of_chorismate","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.880","0.660","0.088"
"superpathway_of_ergosterol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.778","0.402","0.078"
"superpathway_of_fatty_acid_biosynthesis,","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.420","0.034","0.042"
"superpathway_of_glutamate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.379","0.143","0.038"
"superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.238","0.034","0.024"
"superpathway_of_heme_and_siroheme_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.494","0.105","0.049"
"superpathway_of_histidine,_purine,_and_pyrimidine","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.958","0.953","0.096"
