"Weight set: ","[0.0, 0.1, 0.0, 0.0]"
"kegg","intpathway","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"n-glycan_biosynthesis,_high-mannose_type","metabolic_pathways","0.250","0.007","0.955","0.000","0.096"
"n-glycan_precursor_biosynthesis","metabolic_pathways","0.292","0.009","0.975","0.000","0.097"
"n-glycan_precursor_trimming","metabolic_pathways","0.227","0.006","0.676","0.000","0.068"
"n-glycosylation_by_oligosaccharyltransferase","metabolic_pathways","0.294","0.009","0.921","0.000","0.092"
"nucleotide_sugar_biosynthesis,_galactose_=>_udp-galactose","metabolic_pathways","0.267","0.008","0.571","0.000","0.057"
"nucleotide_sugar_biosynthesis,_glucose_=>_udp-glucose","metabolic_pathways","0.233","0.007","0.955","0.000","0.096"
"origin_recognition_complex","metabolic_pathways","0.238","0.007","0.816","0.000","0.082"
"ornithine_biosynthesis,_glutamate_=>_ornithine","metabolic_pathways","0.211","0.006","0.676","0.000","0.068"
"p97-ufd1-npl4_complex","metabolic_pathways","0.167","0.004","0.571","0.000","0.057"
"pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","metabolic_pathways","0.200","0.005","0.816","0.000","0.082"
"pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","metabolic_pathways","0.211","0.006","0.861","0.000","0.086"
"pentose_phosphate_pathway_(pentose_phosphate_cycle)","metabolic_pathways","0.308","0.009","0.981","0.000","0.098"
"phenylalanine_biosynthesis,_chorismate_=>_phenylalanine","metabolic_pathways","0.222","0.006","0.571","0.000","0.057"
"phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","metabolic_pathways","0.209","0.006","0.571","0.000","0.057"
"phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","metabolic_pathways","0.237","0.007","0.431","0.000","0.043"
"phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","metabolic_pathways","0.216","0.006","0.571","0.000","0.057"
"phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","metabolic_pathways","0.261","0.008","0.676","0.000","0.068"
"polyamine_biosynthesis,_arginine_=>_ornithine_=>_putrescine","metabolic_pathways","0.204","0.005","0.431","0.000","0.043"
"proline_biosynthesis,_glutamate_=>_proline","metabolic_pathways","0.200","0.005","0.676","0.000","0.068"
"proteasome,_19s_regulatory_particle_(pa700)","metabolic_pathways","0.265","0.008","0.995","0.000","0.100"
"proteasome,_20s_core_particle","metabolic_pathways","0.381","0.012","0.981","0.000","0.098"
"prpp_biosynthesis,_ribose_5p_=>_prpp","metabolic_pathways","0.161","0.004","0.756","0.000","0.076"
"pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","metabolic_pathways","0.192","0.005","0.676","0.000","0.068"
"pyruvate_oxidation,_pyruvate_=>_acetyl-coa","metabolic_pathways","0.273","0.008","0.756","0.000","0.076"
"rf-c_complex","metabolic_pathways","0.200","0.005","0.756","0.000","0.076"
"ribosome,_eukaryotes","metabolic_pathways","0.429","0.014","1.000","0.000","0.100"
"rna_polymerase_i,_eukaryotes","metabolic_pathways","0.400","0.013","0.981","0.000","0.098"
"rna_polymerase_ii,_eukaryotes","metabolic_pathways","0.381","0.012","0.966","0.000","0.097"
"rna_polymerase_iii,_eukaryotes","metabolic_pathways","0.364","0.012","0.989","0.000","0.099"
"scf-cdc4_complex","metabolic_pathways","0.200","0.005","0.676","0.000","0.068"
"scf-grr1_complex","metabolic_pathways","0.200","0.005","0.676","0.000","0.068"
"scf-met30_complex","metabolic_pathways","0.385","0.012","0.676","0.000","0.068"
"sec61_complex","metabolic_pathways","0.286","0.009","0.756","0.000","0.076"
"serine_biosynthesis,_glycerate-3p_=>_serine","metabolic_pathways","0.229","0.006","0.676","0.000","0.068"
"shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","metabolic_pathways","0.196","0.005","0.676","0.000","0.068"
"ski_complex","metabolic_pathways","0.200","0.005","0.571","0.000","0.057"
"sln1-ypd1-ssk1/skn7_(osmosensing)_two-component_regulatory_system","metabolic_pathways","0.182","0.005","0.676","0.000","0.068"
"sm_core_complex","metabolic_pathways","0.286","0.009","0.861","0.000","0.086"
"sphingosine_degradation","metabolic_pathways","0.278","0.008","0.571","0.000","0.057"
"spliceosome,_u1-snrnp","metabolic_pathways","0.313","0.010","0.921","0.000","0.092"
"succinate_dehydrogenase_(ubiquinone)","metabolic_pathways","0.200","0.005","0.861","0.000","0.086"
"tetrahydrofolate_biosynthesis,_gtp_=>_thf","metabolic_pathways","0.323","0.010","0.861","0.000","0.086"
"threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","metabolic_pathways","0.200","0.005","0.756","0.000","0.076"
"tramp_complex","metabolic_pathways","0.286","0.009","0.756","0.000","0.076"
"tryptophan_biosynthesis,_chorismate_=>_tryptophan","metabolic_pathways","0.289","0.009","0.756","0.000","0.076"
"ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","metabolic_pathways","0.153","0.004","0.756","0.000","0.076"
"uridine_monophosphate_biosynthesis,_glutamine_(+_prpp)_=>_ump","metabolic_pathways","0.151","0.003","0.895","0.000","0.090"
"valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","metabolic_pathways","0.141","0.003","0.816","0.000","0.082"
