"Weight set: ","[0.0, 0.0, 1.0, 0.0]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"endocytosis","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.921","0.135","0.135"
"ergosterol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.778","0.233","0.233"
"ethanol_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.050","0.050"
"ether_lipid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.288","0.025","0.025"
"eukaryotic_transcription_initiation","sc_cytoplasmic_trna_synthetases_wp219_76236","12","0.208","0.277","0.000","0.000"
"fatty_acid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.058","0.058"
"fatty_acid_biosynthesis,_initial_steps","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.379","0.074","0.074"
"fatty_acid_elongation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.288","0.066","0.066"
"fatty_acid_elongation,","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.041","0.000","0.000"
"fatty_acid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.686","0.213","0.213"
"fatty_acid_oxidation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.494","0.259","0.259"
"folate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.745","0.348","0.348"
"folate_interconversions","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.558","0.265","0.265"
"folate_polyglutamylation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.420","0.199","0.199"
"folate_transformations","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.527","0.233","0.233"
"folic_acid_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","15","0.271","0.099","0.000","0.000"
"formaldehyde_oxidation_ii_(glutathione-dependent)","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.184","0.017","0.017"
"fructose_and_mannose_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.842","0.455","0.455"
"fructose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.025","0.025"
"galactose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.288","0.058","0.058"
"galactose_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.792","0.186","0.186"
"genes_of_meiotic_recombination","sc_cytoplasmic_trna_synthetases_wp219_76236","11","0.188","0.153","0.000","0.000"
"glucose-1-phosphate_metabolism","sc_cytoplasmic_trna_synthetases_wp219_76236","10","0.167","0.041","0.000","0.000"
"glucose-6-phosphate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.184","0.050","0.050"
"glucose_fermentation","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.896","0.633","0.633"
"glutamate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.379","0.009","0.009"
"glutamate_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.727","0.017","0.017"
"glutamine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.184","0.009","0.009"
"glutathione-glutaredoxin_redox_reaction","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.527","0.120","0.120"
"glutathione-glutaredoxin_system","sc_cytoplasmic_trna_synthetases_wp219_76236","11","0.188","0.060","0.000","0.000"
"glutathione_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.009","0.009"
"glutathione_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.792","0.206","0.206"
"glycerol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.288","0.050","0.050"
"glycerol_degradation","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.127","0.017","0.017"
"glycerol_teichoic_acid_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","17","0.313","0.041","0.000","0.000"
"glycerolipid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.686","0.226","0.226"
"glycerophospholipid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.863","0.396","0.396"
"glycine,_serine_and_threonine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.806","0.441","0.441"
"glycine_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","12","0.208","0.041","0.000","0.000"
"glycine_biosynthesis_from_serine","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.127","0.009","0.009"
"glycine_biosynthesis_from_threonine","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.250","0.010","0.000","0.000"
"glycine_cleavage_complex","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.184","0.034","0.034"
"glycine_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","6","0.083","0.041","0.000","0.000"
"glycogen_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.458","0.128","0.128"
"glycogen_catabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.288","0.042","0.042"
"glycolysis_and_gluconeogenesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.985","0.840","0.840"
"glyoxylate_and_dicarboxylate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.640","0.296","0.296"
"glyoxylate_cycle","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.420","0.113","0.113"
"heme_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.494","0.025","0.025"
"hexaprenyl_diphosphate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.288","0.034","0.034"
"histidine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.379","0.098","0.098"
"histidine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.640","0.082","0.082"
"homocysteine_and_cysteine_interconversion","sc_cell_cycle_and_cell_division_wp414_78393","17","0.313","0.238","0.050","0.050"
"homocysteine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.009","0.009"
"homologous_recombination","sc_cytoplasmic_trna_synthetases_wp219_76236","9","0.146","0.180","0.000","0.000"
"homoserine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.184","0.017","0.017"
"inositol_phosphate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.948","0.325","0.325"
"inositol_phosphate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.640","0.128","0.128"
"l-serine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.066","0.009","0.009"
"lactose_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","8","0.125","0.070","0.000","0.000"
"limonene_and_pinene_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","9","0.146","0.051","0.000","0.000"
"lipases_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","12","0.208","0.041","0.000","0.000"
"lipid-linked_oligosaccharide_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.588","0.143","0.143"
"lipoic_acid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.184","0.025","0.025"
"lysine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.527","0.135","0.135"
"lysine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.615","0.074","0.074"
"m-cresol_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.060","0.000","0.000"
"mannose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.074","0.074"
"mapk_signaling_pathway","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.167","0.422","0.422"
"meiosis_-_yeast","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.000","0.800","0.800"
"metabolic_pathways","sc_cytoplasmic_trna_synthetases_wp219_76236","11","0.188","0.981","0.000","0.000"
"methane_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.863","0.278","0.278"
"methionine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.379","0.009","0.009"
"methionine_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.041","0.000","0.000"
"methionine_salvage_pathway","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.615","0.066","0.066"
"methylglyoxal_catabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.184","0.025","0.025"
"mevalonate_pathway","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.458","0.098","0.098"
"mismatch_repair","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.180","0.000","0.000"
"mitochondrial_trna_synthetases","sc_cytoplasmic_trna_synthetases_wp219_76236","20","0.375","0.135","0.000","0.000"
"mrna_surveillance_pathway","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.888","0.179","0.179"
"myristate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.184","0.042","0.042"
"n-glycan_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.940","0.359","0.359"
"nad_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.494","0.082","0.082"
"nad_salvage_pathway","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.494","0.025","0.025"
"nicotinate_and_nicotinamide_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.379","0.082","0.082"
"nitrogen_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.664","0.455","0.455"
"non-homologous_end-joining","sc_cytoplasmic_trna_synthetases_wp219_76236","6","0.083","0.099","0.000","0.000"
"non-oxidative_branch_of_the_pentose_pathway","sc_cytoplasmic_trna_synthetases_wp219_76236","15","0.271","0.089","0.000","0.000"
"nucleotide_excision_repair","sc_cytoplasmic_trna_synthetases_wp219_76236","9","0.146","0.314","0.000","0.000"
"nucleotide_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.931","0.391","0.391"
"octane_oxidation","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.051","0.000","0.000"
"oleate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.066","0.009","0.009"
"one_carbon_pool_by_folate","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.640","0.465","0.465"
"other_glycan_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","8","0.125","0.010","0.000","0.000"
"other_types_of_o-glycan_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","15","0.271","0.126","0.000","0.000"
"oxidative_phosphorylation","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.988","0.391","0.391"
"p-aminobenzoate_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","15","0.271","0.021","0.000","0.000"
"p-cymene_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.060","0.000","0.000"
"palmitoleate_and_palmitate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.238","0.050","0.050"
"pantothenate_and_coa_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.727","0.157","0.157"
"pathways_of_chorismate","sc_cytoplasmic_trna_synthetases_wp219_76236","9","0.146","0.230","0.000","0.000"
"pentose_and_glucuronate_interconversions","sc_cell_cycle_and_cell_division_wp414_78393","16","0.292","0.494","0.025","0.025"
"pentose_phosphate_pathway","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.853","0.579","0.579"
"pentosephosphatweg","sc_cell_cycle_and_cell_division_wp414_78393","5","0.063","0.558","0.066","0.066"
"periplasmic_nad_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","13","0.229","0.010","0.000","0.000"
"peroxisome","sc_cytoplasmic_trna_synthetases_wp219_76236","4","0.042","0.284","0.000","0.000"
"phagosome","sc_cell_cycle_and_cell_division_wp414_78393","3","0.021","0.903","0.042","0.042"
"phenylalanine,_tyrosine,_tryptophan_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.686","0.343","0.343"
"phenylalanine_and_tyrosine_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","17","0.313","0.051","0.000","0.000"
"phenylalanine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.042","0.042"
"phenylalanine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.558","0.186","0.186"
"phenylalanine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.458","0.058","0.058"
"phosphatidate_biosynthesis_i_(the_dihydroxyacetone_pathway)","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.238","0.009","0.009"
"phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.288","0.009","0.009"
"phosphatidylinositol_signaling_system","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.640","0.193","0.193"
"phospholipid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.615","0.105","0.105"
"phospholipids_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.184","0.025","0.025"
"polyamine_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","15","0.271","0.041","0.000","0.000"
"porphyrin_and_chlorophyll_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.664","0.135","0.135"
"principle_pathways_of_carbon_metabolism","sc_cytoplasmic_trna_synthetases_wp219_76236","13","0.229","0.567","0.000","0.000"
"proline_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.184","0.017","0.017"
"proline_utilization","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.025","0.025"
"propanoate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.527","0.009","0.009"
"proteasome","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.363","0.000","0.000"
"protein_export","sc_cytoplasmic_trna_synthetases_wp219_76236","6","0.083","0.197","0.000","0.000"
"protein_modifications","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.117","0.000","0.000"
"protein_processing_in_endoplasmic_reticulum","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.258","0.469","0.469"
"purine_fermentation","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.041","0.000","0.000"
"purine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.998","0.957","0.957"
"putrescine_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","13","0.229","0.010","0.000","0.000"
"pyridoxal_5'-phosphate_salvage_pathway","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.009","0.009"
"pyrimidine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.992","0.818","0.818"
"pyruvate_dehydrogenase_complex","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.017","0.017"
"pyruvate_dehydrogenase_pathway","sc_cytoplasmic_trna_synthetases_wp219_76236","11","0.188","0.041","0.000","0.000"
"pyruvate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.896","0.685","0.685"
"regulation_of_autophagy","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.686","0.113","0.113"
"removal_of_superoxide_radicals","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.009","0.009"
"riboflavin,_fmn_and_fad_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.420","0.025","0.025"
"riboflavin_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.233","0.128","0.128"
"ribose_and_deoxyribose_phosphate_metabolism","sc_cytoplasmic_trna_synthetases_wp219_76236","12","0.208","0.051","0.000","0.000"
"ribosome","sc_cytoplasmic_trna_synthetases_wp219_76236","4","0.042","0.789","0.000","0.000"
"ribosome_biogenesis_in_eukaryotes","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.994","0.386","0.386"
"rna_degradation","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.980","0.348","0.348"
"rna_polymerase","sc_cytoplasmic_trna_synthetases_wp219_76236","9","0.146","0.261","0.000","0.000"
"rna_transport","sc_cell_cycle_and_cell_division_wp414_78393","5","0.063","0.964","0.533","0.533"
"rump_cycle_and_formaldehyde_assimilation","sc_cytoplasmic_trna_synthetases_wp219_76236","13","0.229","0.041","0.000","0.000"
"s-adenosylmethionine_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","15","0.271","0.021","0.000","0.000"
"s-adenosylmethionine_cycle","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.025","0.025"
"salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.379","0.135","0.135"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.184","0.017","0.017"
"salvage_pathways_of_purines_and_their_nucleosides","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.458","0.157","0.157"
"salvage_pathways_of_pyrimidine_ribonucleotides","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.335","0.058","0.058"
"selenocompound_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.558","0.120","0.120"
"serine-isocitrate_lyase_pathway","sc_cytoplasmic_trna_synthetases_wp219_76236","13","0.229","0.171","0.000","0.000"
"serine_and_glycine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.420","0.074","0.074"
"serine_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","12","0.208","0.041","0.000","0.000"
"serine_biosynthesis_from_3-phosphoglycerate","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.238","0.034","0.034"
"serine_biosynthesis_from_glyoxylate","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.127","0.009","0.009"
"snare_interactions_in_vesicular_transport","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.792","0.186","0.186"
"spermine,_spermidine_and_methylthioadenosine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","16","0.292","0.184","0.017","0.017"
"sphingolipid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.727","0.226","0.226"
"spliceosome","sc_cytoplasmic_trna_synthetases_wp219_76236","8","0.125","0.523","0.000","0.000"
"starch_and_cellulose_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","15","0.271","0.051","0.000","0.000"
"starch_and_sucrose_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.936","0.750","0.750"
"stearate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.066","0.066"
"steroid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.640","0.090","0.090"
"sucrose_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","13","0.229","0.060","0.000","0.000"
"sucrose_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","8","0.125","0.010","0.000","0.000"
"sulfate_assimilation_pathway","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.458","0.017","0.017"
"sulfur_amino_acid_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","16","0.292","0.135","0.000","0.000"
"sulfur_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","6","0.083","0.041","0.000","0.000"
"sulfur_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.640","0.143","0.143"
"sulfur_relay_system","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.420","0.050","0.050"
"superpathway_of_acetoin_and_butanediol_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","18","0.333","0.060","0.000","0.000"
"superpathway_of_chorismate","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.880","0.660","0.660"
"superpathway_of_ergosterol_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.778","0.402","0.402"
"superpathway_of_fatty_acid_biosynthesis,","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.420","0.034","0.034"
"superpathway_of_glutamate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.379","0.143","0.143"
"superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","0.238","0.034","0.034"
