"Weight set: ","[0.0, 0.0, 0.0, 1.0]"
"kegg","intpathway","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"dna_polymerase_zeta  complex","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","15.000","0.368","0.997","1.000","0.368"
"eif4f_complex","glycine_cleavage_complex","9.000","0.211","0.994","1.000","0.211"
"ergocalciferol_biosynthesis","superpathway_of_acetoin_and_butanediol_biosynthesis","22.000","0.553","0.988","0.000","0.553"
"escrt-0_complex","2-ketoglutarate_dehydrogenase_complex","11.000","0.263","0.998","1.000","0.263"
"escrt-ii_complex","2-ketoglutarate_dehydrogenase_complex","11.000","0.263","0.997","1.000","0.263"
"escrt-iii_complex","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","11.000","0.263","0.985","1.000","0.263"
"exosome,_archaea","aerobic_respiration,_electron_transport_chain","11.000","0.263","0.959","1.000","0.263"
"exosome,_eukaryotes","ribosome_biogenesis_in_eukaryotes","16.000","0.395","0.743","0.998","0.395"
"f-type_atpase,_eukaryotes","salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","15.000","0.368","0.980","1.000","0.368"
"fatty_acid_biosynthesis,_elongation","fatty_acid_biosynthesis,_initial_steps","28.000","0.711","0.992","1.000","0.711"
"fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","protein_processing_in_endoplasmic_reticulum","33.000","0.842","0.829","0.999","0.842"
"fatty_acid_biosynthesis,_initiation","fatty_acid_biosynthesis,_initial_steps","32.000","0.816","0.986","1.000","0.816"
"gaba_(gamma-aminobutyrate)_shunt","4-aminobutyrate_degradation","16.000","0.395","0.998","1.000","0.395"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","28.000","0.711","0.994","1.000","0.711"
"gins_complex","glycine_cleavage_complex","11.000","0.263","0.995","1.000","0.263"
"gluconeogenesis,_oxaloacetate_=>_fructose-6p","salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","21.000","0.526","0.952","0.998","0.526"
"glycolysis,_core_module_involving_three-carbon_compounds","salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","23.000","0.579","0.955","0.999","0.579"
"glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","23.000","0.579","0.960","0.999","0.579"
"glyoxylate_cycle","glyoxylate_cycle","16.000","0.395","0.966","1.000","0.395"
"gpi-anchor_biosynthesis,_core_oligosaccharide","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","26.000","0.658","0.985","1.000","0.658"
"guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","26.000","0.658","0.985","1.000","0.658"
"h/aca_ribonucleoprotein_complex","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","16.000","0.395","0.992","1.000","0.395"
"histidine_biosynthesis,_prpp_=>_histidine","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","26.000","0.658","0.986","1.000","0.658"
"holo-tfiih_complex","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","12.000","0.289","0.981","1.000","0.289"
"inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","31.000","0.789","0.983","1.000","0.789"
"isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","cysteine_biosynthesis/homocysteine_degradation","30.000","0.763","0.994","1.000","0.763"
"leucine_biosynthesis,_2-oxoisovalerate_=>_2-oxoisocaproate","serine_biosynthesis_from_3-phosphoglycerate","29.000","0.737","0.994","1.000","0.737"
"lsm_1-7_complex","glycine_cleavage_complex","10.000","0.237","0.992","1.000","0.237"
"lsm_2-8_complex","glycine_cleavage_complex","10.000","0.237","0.992","1.000","0.237"
"lysine_biosynthesis,_2-oxoglutarate_=>_2-oxoadipate","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","27.000","0.684","0.990","1.000","0.684"
"lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","32.000","0.816","0.983","1.000","0.816"
"mcm_complex","glycine_cleavage_complex","9.000","0.211","0.993","1.000","0.211"
"methionine_salvage_pathway","methionine_salvage_pathway","26.000","0.658","0.947","1.000","0.658"
"mrx_complex","pyruvate_dehydrogenase_complex","9.000","0.211","0.995","1.000","0.211"
"n-glycan_biosynthesis,_high-mannose_type","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","24.000","0.605","0.979","1.000","0.605"
"n-glycan_precursor_biosynthesis","phenylalanine,_tyrosine,_tryptophan_biosynthesis","22.000","0.553","0.917","0.998","0.553"
"n-glycan_precursor_trimming","glycine_biosynthesis_from_threonine","14.000","0.342","0.998","0.000","0.342"
"n-glycosylation_by_oligosaccharyltransferase","lipid-linked_oligosaccharide_biosynthesis","21.000","0.526","0.955","1.000","0.526"
"nucleotide_sugar_biosynthesis,_galactose_=>_udp-galactose","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","29.000","0.737","0.994","1.000","0.737"
"nucleotide_sugar_biosynthesis,_glucose_=>_udp-glucose","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","27.000","0.684","0.979","1.000","0.684"
"origin_recognition_complex","2-ketoglutarate_dehydrogenase_complex","15.000","0.368","0.993","1.000","0.368"
"ornithine_biosynthesis,_glutamate_=>_ornithine","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","26.000","0.658","0.992","1.000","0.658"
"p97-ufd1-npl4_complex","pyruvate_dehydrogenase_complex","12.000","0.289","0.995","1.000","0.289"
"pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","30.000","0.763","0.984","1.000","0.763"
"pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","30.000","0.763","0.986","1.000","0.763"
"pentose_phosphate_pathway_(pentose_phosphate_cycle)","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","29.000","0.737","0.973","1.000","0.737"
"phenylalanine_biosynthesis,_chorismate_=>_phenylalanine","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","30.000","0.763","0.994","1.000","0.763"
"phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","31.000","0.789","0.994","1.000","0.789"
"phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","29.000","0.737","0.996","1.000","0.737"
"phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","34.000","0.868","0.994","1.000","0.868"
"phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","32.000","0.816","0.992","1.000","0.816"
"polyamine_biosynthesis,_arginine_=>_ornithine_=>_putrescine","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","29.000","0.737","0.996","1.000","0.737"
"proline_biosynthesis,_glutamate_=>_proline","glycine_biosynthesis_from_threonine","25.000","0.632","0.998","0.000","0.632"
"proteasome,_19s_regulatory_particle_(pa700)","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","21.000","0.526","0.971","1.000","0.526"
"proteasome,_20s_core_particle","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","18.000","0.447","0.978","1.000","0.447"
"prpp_biosynthesis,_ribose_5p_=>_prpp","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","22.000","0.553","0.990","1.000","0.553"
"pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","spermine,_spermidine_and_methylthioadenosine_biosynthesis","29.000","0.737","0.995","1.000","0.737"
"pyruvate_oxidation,_pyruvate_=>_acetyl-coa","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","23.000","0.579","0.992","1.000","0.579"
"rf-c_complex","glycine_cleavage_complex","9.000","0.211","0.994","1.000","0.211"
"ribosome,_eukaryotes","ribosome_biogenesis_in_eukaryotes","19.000","0.474","0.015","0.718","0.474"
"rna_polymerase_i,_eukaryotes","ribosome_biogenesis_in_eukaryotes","18.000","0.447","0.660","0.997","0.447"
"rna_polymerase_ii,_eukaryotes","ribosome_biogenesis_in_eukaryotes","18.000","0.447","0.700","0.998","0.447"
"rna_polymerase_iii,_eukaryotes","ribosome_biogenesis_in_eukaryotes","19.000","0.474","0.622","0.996","0.474"
"scf-cdc4_complex","glycine_cleavage_complex","10.000","0.237","0.995","1.000","0.237"
"scf-grr1_complex","2-ketoglutarate_dehydrogenase_complex","12.000","0.289","0.995","1.000","0.289"
"scf-met30_complex","2-ketoglutarate_dehydrogenase_complex","11.000","0.263","0.995","1.000","0.263"
"sec61_complex","glycine_cleavage_complex","10.000","0.237","0.994","1.000","0.237"
"serine_biosynthesis,_glycerate-3p_=>_serine","serine_biosynthesis_from_3-phosphoglycerate","29.000","0.737","0.994","1.000","0.737"
"shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","29.000","0.737","0.989","1.000","0.737"
"ski_complex","glycine_cleavage_complex","9.000","0.211","0.997","1.000","0.211"
"sln1-ypd1-ssk1/skn7_(osmosensing)_two-component_regulatory_system","salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","23.000","0.579","0.989","1.000","0.579"
"sm_core_complex","glycine_cleavage_complex","11.000","0.263","0.992","1.000","0.263"
"sphingosine_degradation","cysteine_biosynthesis/homocysteine_degradation","20.000","0.500","0.998","1.000","0.500"
"spliceosome,_u1-snrnp","superpathway_of_histidine,_purine,_and_pyrimidine","12.000","0.289","0.850","0.992","0.289"
"succinate_dehydrogenase_(ubiquinone)","pyruvate_dehydrogenase_complex","21.000","0.526","0.989","1.000","0.526"
"tetrahydrofolate_biosynthesis,_gtp_=>_thf","superpathway_of_purine_biosynthesis_and_salvage_pathways","26.000","0.658","0.908","0.998","0.658"
"threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","cysteine_biosynthesis/homocysteine_degradation","31.000","0.789","0.996","1.000","0.789"
"tramp_complex","pyruvate_dehydrogenase_complex","11.000","0.263","0.992","1.000","0.263"
"tryptophan_biosynthesis,_chorismate_=>_tryptophan","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","31.000","0.789","0.990","1.000","0.789"
"ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","phosphatidate_biosynthesis_i_(the_dihydroxyacetone_pathway)","31.000","0.789","0.992","1.000","0.789"
"uridine_monophosphate_biosynthesis,_glutamine_(+_prpp)_=>_ump","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","32.000","0.816","0.985","1.000","0.816"
"valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","superpathway_of_leucine,_isoleucine,_and_valine_biosynthesis","32.000","0.816","0.975","1.000","0.816"
