M26020 AAA35137.1 S000006025 YPL104W
Z72601 CAA96784.1 S000003047 YGL079W
Z72636 CAA96822.1 S000003082 YGL114W
DQ116800 AAZ29880.1 S000003276 YGR044C
DQ116811 AAZ29891.1 S000003276 YGR044C
DQ116803 AAZ29883.1 S000003276 YGR044C
DQ116802 AAZ29882.1 S000003276 YGR044C
DQ116806 AAZ29886.1 S000003276 YGR044C
DQ116801 AAZ29881.1 S000003276 YGR044C
DQ116799 AAZ29879.1 S000003276 YGR044C
DQ116805 AAZ29885.1 S000003276 YGR044C
DQ116809 AAZ29889.1 S000003276 YGR044C
DQ116810 AAZ29890.1 S000003276 YGR044C
Z72609 CAA96792.1 S000003055 YGL087C
M22259 AAA34866.1 S000002264 YDL106C
Z73269 CAA97660.1 S000004087 YLR097C
Z35777 CAA84835.1 S000000112 YBL016W
Z49369 CAA89387.1 S000003630 YJL094C
Z49285 CAA89301.1 S000003547 YJL010C
Z71443 CAA96054.1 S000005111 YNL167C
Z49441 CAA89461.1 S000003702 YJL166W
U18672 AAC49007.1 S000005862 YOR335C
Z71279 CAA95862.1 S000004948 YNL003C
Z49542 CAA89569.1 S000003803 YJR042W
Z28117 CAA81957.1 S000001600 YKL117W
Z75122 CAA99430.1 S000005740 YOR214C
X69572 CAA49292.1 S000000112 YBL016W
Z74366 CAA98888.1 S000002477 YDR070C
Z75223 CAA99635.1 S000005842 YOR315W
Z75279 CAA99702.1 S000005898 YOR371C
M17539 AAA35007.1 S000001858 YFL036W
Z74943 CAA99225.1 S000005561 YOR035C
Z73540 CAA97894.1 S000006105 YPL184C
Z73540 CAA97895.1 S000007224 YPL183W-A
Z49622 CAA89653.1 S000003883 YJR122W
M21877 AAA35188.1 S000002461 YDR054C
Z28242 CAA82089.1 S000001725 YKR017C
Z49436 CAA89456.1 S000003697 YJL161W
M62813 AAA34560.1 S000001632 YKL149C
L26480 AAA57357.1 S000006187 YPL266W
Z28072 CAA81909.1 S000001555 YKL072W
Z72949 CAA97188.1 S000003396 YGR164W
Z28296 CAA82150.1 S000001779 YKR071C
Z72925 CAA97153.1 S000003372 YGR140W
Z72834 CAA97049.1 S000003281 YGR049W
M64706 AAA16885.1 S000004659 YMR055C
Z71303 CAA95889.1 S000004972 YNL027W
Z74244 CAA98773.1 S000002355 YDL196W
Z75250 CAA99666.1 S000005869 YOR342C
X58300 CAA41233.1 S000000189 YBL093C
Z73581 CAA97940.1 S000006146 YPL225W
Z49352 CAA89369.1 S000003613 YJL077C
L28996 AAA61614.1 S000005620 YOR094W
Y00754 CAA68723.1 S000004369 YLR377C
X64763 CAA46011.1 S000001128 YHR086W
L32174 AAT01100.1 S000005962 YPL041C
Z73615 CAA97989.1 S000006180 YPL259C
M30470 AAA35061.1 S000003083 YGL115W
X62451 CAA44308.1 S000002571 YDR164C
Z46237 CAA86307.1 S000002665 YDR257C
D26606 BAA05651.1 S000000230 YBR026C
S43128 AAB22978.1 S000007222 YCR028C-A
U08849 AAA21656.1 S000005565 YOR039W
L00708 AAA34992.1 S000003824 YJR063W
L07865 AAA16896.1 S000002510 YDR103W
L14593 AAA34920.1 S000002164 YDL006W
L41926 AAC41664.1 S000000920 YER118C
X95533 CAA64779.1 S000003059 YGL091C
U10427 AAB41115.1 S000002705 YDR297W
L41522 AAB05000.1 S000002426 YDR019C
L19560 AAA34656.1 S000000768 YEL042W
M20318 AAA53538.1 S000000117 YBL021C
U19608 AAC49289.1 S000002213 YDL055C
U22109 AAB06186.1 S000005181 YNL237W
U17918 AAC49039.1 S000001288 YIL026C
X71902 CAA50721.1 S000006229 YPR025C
X72922 CAA51426.1 S000003387 YGR155W
X04423 CAA28019.1 S000002266 YDL108W
D29980 BAA06250.1 S000001144 YHR102W
M16988 AAA34851.1 S000003834 YJR073C
J03493 AAA34669.1 S000003008 YGL040C
M23316 AAA34980.1 S000000750 YEL024W
X92680 CAA63364.1 S000006377 YPR173C
Z28071 CAA81908.1 S000001554 YKL071W
D00845 BAA00725.1 S000000137 YBL041W
X96617 CAA65437.1 S000004595 YML126C
U03060 AAC48919.1 S000002974 YGL006W
L33863 AAA53130.1 S000000110 YBL014C
M72716 AAA34482.1 S000003158 YGL190C
X16183 CAA34306.1 S000004253 YLR263W
X66132 CAA46923.1 S000001426 YIL164C
U20390 AAA86498.1 S000005167 YNL223W
U20390 AAA86497.1 S000005166 YNL222W
X72923 CAA51427.1 S000001898 YFR002W
U28487 AAC49568.1 S000005195 YNL251C
D64114 BAA10973.1 S000004460 YML001W
X53871 CAA37865.1 S000002903 YDR495C
J05404 AAA34439.1 S000002985 YGL017W
X75754 CAA53382.1 S000005546 YOR020C
M15436 AAA34587.1 S000005499 YOL139C
D50324 BAA08859.1 S000003766 YJR006W
X17256 CAA35157.1 S000000649 YCR053W
L04683 AAA34657.1 S000002862 YDR454C
U17378 AAC49068.1 S000004641 YMR038C
Z75235 CAA99647.1 S000005854 YOR327C
K02962 AAA34952.1 S000003026 YGL058W
L11994 AAC37368.1 S000001801 YKR093W
M64062 AAA34923.1 S000002389 YDL230W
D10018 BAA00907.1 S000004590 YML121W
X04337 CAA27867.1 S000003203 YGL234W
M36822 AAA34839.1 S000005364 YOL004W
L15081 AAC13730.1 S000005601 YOR075W
M16809 AAA82871.1 S000000039 YAL041W
X77413 CAA54586.1 S000003039 YGL071W
D28499 BAA05858.1 S000003829 YJR068W
U41851 AAB86458.1 S000003088 YGL120C
J04470 AAA35195.1 S000004483 YML021C
X60381 CAA42932.1 S000003111 YGL143C
M28164 AAA34417.1 S000003764 YJR004C
J05267 AAA34707.1 S000005468 YOL108C
M98261 AAA34378.1 S000000001 YAL001C
U14566 AAA50357.1 S000003293 YGR061C
X71061 CAA50378.1 S000000323 YBR119W
X53431 CAA37522.1 S000004354 YLR362W
M32653 AAA35075.1 S000001196 YHR153C
M32653 AAA35076.1 S000001195 YHR152W
D87841 BAA20120.1 S000004376 YLR384C
D42168 BAA07725.2 S000003626 YJL090C
L42348 AAB47713.1 S000005338 YNR055C
U22341 AAB60289.1 S000004802 YMR190C
X53998 CAA37946.1 S000005295 YNR012W
X77135 CAA54391.1 S000005649 YOR123C
X53946 CAA37893.1 S000001422 YIL160C
AY532640 AAS21317.1 S000000568 YCL063W
U25052 AAC49042.1 S000005611 YOR085W
X06978 CAA30040.1 S000002553 YDR146C
M76739 AAA34632.1 S000000737 YEL011W
U01144 AAA19688.1 S000002483 YDR076W
X61669 CAA43843.1 S000003376 YGR144W
U07171 AAA16608.1 S000002705 YDR297W
M86929 AAA34931.1 S000000318 YBR114W
M58324 AAA34407.1 S000005654 YOR128C
M26507 AAA34734.1 S000002288 YDL130W
U27209 AAA67368.1 S000003329 YGR097W
Z73061 CAA97306.1 S000003508 YGR276C
M81696 AAA34789.1 S000002813 YDR405W
M37578 AAA34926.1 S000004186 YLR196W
Z75243 CAA99658.1 S000005862 YOR335C
U25436 AAA91644.1 S000003673 YJL137C
Z49593 CAA89621.1 S000003853 YJR093C
X51606 CAA35949.1 S000000913 YER111C
M92290 AAA16452.1 S000002662 YDR254W
X14105 CAA32262.1 S000001066 YHR024C
X81474 CAA57227.1 S000001633 YKL150W
Z75030 CAA99321.1 S000005648 YOR122C
Z75045 CAA99336.1 S000005663 YOR137C
X72225 CAA51028.1 S000005430 YOL069W
Z72839 CAA97054.1 S000003286 YGR054W
Z72830 CAA97044.1 S000003277 YGR045C
Z26040 CAA81125.1 S000006050 YPL129W
Z72876 CAA97094.1 S000003323 YGR091W
AF174139 AAF01680.1 S000001642 YKL159C
Z28004 CAA81836.1 S000001487 YKL004W
Z71378 CAA95978.1 S000005046 YNL102W
Z72864 CAA97081.1 S000003311 YGR079W
Z28309 CAA82163.1 S000001792 YKR084C
Z74370 CAA98893.1 S000002481 YDR074W
X99240 CAA67622.1 S000004463 YML004C
U27233 AAB01676.1 S000002919 YDR511W
U27233 AAB01675.1 S000002918 YDR510W
Z47813 CAA87800.1 S000002576 YDR169C
Z47813 CAA87799.1 S000002575 YDR168W
Z47813 CAA87798.1 S000002574 YDR167W
Z72615 CAA96799.1 S000003061 YGL093W
X83608 CAA58587.1 S000005086 YNL142W
Z72640 CAA96826.1 S000003086 YGL118C
L42133 AAB39897.1 S000002558 YDR151C
Z28176 CAA82018.1 S000001659 YKL176C
Z28108 CAA81948.1 S000001591 YKL108W
Z28056 CAA81893.1 S000001539 YKL056C
Z49653 CAA89686.1 S000003914 YJR153W
Z71501 CAA96128.1 S000005169 YNL225C
Z74103 CAA98617.1 S000002213 YDL055C
Z74318 CAA98843.1 S000002429 YDR022C
Z49373 CAA89392.1 S000003634 YJL098W
U55193 AAC13409.1 S000006266 YPR062W
A38769 CAA02396.1 S000005503 YOL143C
Z28086 CAA81924.1 S000001569 YKL086W
U31632 AAA83262.1 S000005990 YPL069C
Z49384 CAA89404.1 S000003645 YJL109C
L20917 AAA20886.1 S000005710 YOR184W
M28486 AAA35121.1 S000005553 YOR027W
Z28276 CAA82129.1 S000001759 YKR051W
Z73533 CAA97884.1 S000006098 YPL177C
Z49421 CAA89441.1 S000003682 YJL146W
L10063 AAA34536.1 S000004700 YMR094W
Z75249 CAA99665.1 S000005868 YOR341W
Z71668 CAA96334.1 S000005336 YNR053C
Z72886 CAA97104.1 S000003333 YGR101W
Z74073 CAA98584.1 S000002183 YDL025C
Z73143 CAA97488.1 S000003961 YLL038C
Z28194 CAA82038.1 S000001677 YKL194C
Z73277 CAA97670.1 S000004095 YLR105C
Z74151 CAA98670.1 S000002261 YDL103C
Z49332 CAA89348.1 S000003593 YJL057C
Z73048 CAA97292.1 S000003495 YGR263C
Z73297 CAA97694.1 S000004115 YLR125W
Z28192 CAA82036.1 S000001675 YKL192C
Z71442 CAA96053.1 S000005110 YNL166C
U15219 AAA50367.1 S000002354 YDL195W
M36725 AAA35125.1 S000003141 YGL173C
M10275 AAA66928.1 S000003490 YGR258C
Z71428 CAA96039.1 S000005096 YNL152W
Z73319 CAA97719.1 S000004137 YLR147C
Z72863 CAA97080.1 S000003310 YGR078C
Z74858 CAA99135.1 S000005476 YOL116W
Y14280 CAA74657.1 S000002161 YDL003W
Z28248 CAA82095.1 S000001731 YKR023W
Z72797 CAA96995.1 S000003244 YGR012W
Z71644 CAA96309.1 S000005312 YNR029C
Z71458 CAA96075.1 S000005126 YNL182C
Z74743 CAA99000.1 S000005361 YOL001W
Z28279 CAA82132.1 S000001762 YKR054C
Z72963 CAA97204.1 S000003410 YGR178C
Z72560 CAA96740.1 S000003006 YGL038C
Z74147 CAA98666.1 S000002257 YDL099W
Z28272 CAA82123.1 S000001755 YKR047W
Z35915 CAA84988.1 S000000250 YBR046C
M90767 AAA34605.1 S000002927 YDR519W
Z46870 CAA86950.1 S000002669 YDR261C
X92971 CAA63548.1 S000005107 YNL163C
D23721 BAA04938.1 S000003160 YGL192W
L07327 AAA35215.1 S000005966 YPL045W
U51431 AAC49522.1 S000000911 YER109C
X12588 CAA31101.1 S000000662 YCR066W
Y00413 CAA68471.1 S000002634 YDR226W
Z74925 CAA99207.1 S000005543 YOR017W
X56934 CAA40255.1 S000002651 YDR243C
X62565 CAA44438.1 S000004664 YMR060C
U16137 AAA67884.1 S000004606 YMR004W
Z49557 CAA89585.1 S000003818 YJR057W
U72149 AAB17005.1 S000003570 YJL033W
Z28292 CAA82146.1 S000001775 YKR067W
D34634 BAA22222.1 S000005448 YOL088C
Z75024 CAA99314.1 S000005642 YOR116C
X54324 CAA38222.1 S000005476 YOL116W
Z74854 CAA99131.1 S000005472 YOL112W
Z71383 CAA95984.1 S000005051 YNL107W
Z74309 CAA98833.1 S000002420 YDR013W
X13513 CAA31864.1 S000004841 YMR228W
S49588 AAB24288.1 S000005111 YNL167C
Z74214 CAA98740.1 S000002325 YDL166C
Z75031 CAA99322.1 S000005649 YOR123C
Z74051 CAA98559.1 S000002161 YDL003W
Z75099 CAA99400.1 S000005717 YOR191W
Z72750 CAA96945.1 S000003197 YGL228W
U14731 AAA86310.1 S000006223 YPR019W
Z71497 CAA96124.1 S000005165 YNL221C
Z71557 CAA96193.1 S000005225 YNL281W
Z75092 CAA99393.1 S000005710 YOR184W
M13010 AAA34561.1 S000001187 YHR144C
Z72683 CAA96873.1 S000003129 YGL161C
Z73599 CAA97964.1 S000006164 YPL243W
Z72793 CAA96991.1 S000003240 YGR008C
Z74109 CAA98624.1 S000002219 YDL061C
Z28182 CAA82025.1 S000001665 YKL182W
M85238 AAA34872.1 S000000805 YER003C
Z74354 CAA98876.1 S000002465 YDR058C
M94769 AAA34887.1 S000006339 YPR135W
D00444 BAA00345.1 S000003240 YGR008C
Z49524 CAA89549.1 S000003785 YJR024C
Y13804 CAA74136.1 S000005409 YOL049W
U19492 AAB51655.1 S000002412 YDR005C
Z71676 CAA96343.1 S000005344 YNR061C
X89221 CAA61505.1 S000002330 YDL171C
Z74773 CAA99031.1 S000005391 YOL031C
Z75127 CAA99437.1 S000005745 YOR219C
Z75192 CAA99511.1 S000005810 YOR284W
X84036 CAA58853.1 S000005500 YOL140W
X84036 CAA58854.1 S000005499 YOL139C
J05676 AAA34826.1 S000003023 YGL055W
Z74800 CAA99067.1 S000005419 YOL058W
Z36004 CAA85092.1 S000000339 YBR135W
Z23117 CAA80663.1 S000003801 YJR040W
Z75058 CAA99356.1 S000005676 YOR150W
Z74993 CAA99280.1 S000005611 YOR085W
Z73512 CAA97861.1 S000006077 YPL156C
Z28141 CAA81982.1 S000001624 YKL141W
D13788 BAA02936.1 S000001084 YHR042W
Z71327 CAA95920.1 S000004996 YNL051W
Z72825 CAA97038.1 S000003272 YGR040W
U33152 AAA86121.1 S000005682 YOR156C
Z74177 CAA98697.1 S000002287 YDL129W
Z73118 CAA97458.1 S000003936 YLL013C
Z73301 CAA97699.1 S000004119 YLR129W
M69017 AAA34722.1 S000002529 YDR122W
S59774 AAC60555.2 S000000359 YBR155W
S59774 AAC60556.1 S000000358 YBR154C
X71329 CAA50473.1 S000000359 YBR155W
X71329 CAA50471.1 S000000357 YBR153W
X71329 CAA50472.1 S000000358 YBR154C
X62147 CAA44073.1 S000005900 YOR373W
S80871 AAB50693.1 S000000369 YBR165W
Z75003 CAA99292.1 S000005621 YOR095C
U31448 AAA92051.1 S000003561 YJL024C
Z72776 CAA96974.1 S000003223 YGL254W
Z49325 CAA89341.1 S000003586 YJL050W
Z35864 CAA84929.1 S000000199 YBL103C
Z74958 CAA99242.1 S000005576 YOR050C
U34347 AAC49380.1 S000005122 YNL178W
Z74104 CAA98618.1 S000002214 YDL056W
Z71463 CAA96081.1 S000005131 YNL187W
Z71672 CAA96339.1 S000005340 YNR057C
Z49438 CAA89458.1 S000003699 YJL163C
U30859 AAA74443.1 S000003160 YGL192W
Z71440 CAA96051.1 S000005108 YNL164C
Z49621 CAA89652.1 S000003882 YJR121W
X15003 CAA33111.1 S000001543 YKL060C
X81813 CAA57411.1 S000002590 YDR182W
Z49488 CAA89510.1 S000003749 YJL213W
Z72583 CAA96764.1 S000003029 YGL061C
Z72694 CAA96884.1 S000003140 YGL172W
Z35872 CAA84939.1 S000000207 YBR003W
Z71349 CAA95947.1 S000005017 YNL073W
L18755 AAA34969.1 S000005234 YNL290W
Z71679 CAA96346.1 S000005347 YNR064C
Z74914 CAA99194.1 S000005532 YOR006C
U72633 AAC09951.1 S000002789 YDR381W
Z49617 CAA89647.1 S000003878 YJR117W
Z74832 CAA99102.1 S000005450 YOL090W
Z71551 CAA96183.1 S000005219 YNL275W
U12437 AAA21413.1 S000001450 YIR011C
Z71634 CAA96298.1 S000005302 YNR019W
J03207 AAA34603.1 S000004369 YLR377C
Z11963 CAA78021.1 S000006076 YPL155C
Z72703 CAA96893.1 S000003149 YGL181W
Z28323 CAA82178.1 S000001806 YKR098C
Z49379 CAA89399.1 S000003640 YJL104W
M81697 AAA34792.1 S000001650 YKL167C
Z72835 CAA97050.1 S000003282 YGR050C
Z72528 CAA96706.1 S000002974 YGL006W
Z73570 CAA97929.1 S000006135 YPL214C
Z71376 CAA95976.1 S000005044 YNL100W
U21326 AAA87184.1 S000003682 YJL146W
Z28162 CAA82004.1 S000001645 YKL162C
Z71519 CAA96149.1 S000005187 YNL243W
Z73536 CAA97887.1 S000006101 YPL180W
Z71550 CAA96182.1 S000005218 YNL274C
X59986 CAA42602.1 S000001323 YIL061C
Z75104 CAA99409.1 S000005722 YOR196C
D29991 BAA21481.1 S000003148 YGL180W
Z49512 CAA89536.1 S000003773 YJR012C
Z49449 CAA89469.1 S000003710 YJL174W
X61920 CAA43922.1 S000002260 YDL102W
D10389 BAA01226.1 S000003631 YJL095W
M64989 AAA34595.1 S000004046 YLR056W
M69295 AAA35200.1 S000001507 YKL024C
Z73543 CAA97899.1 S000006108 YPL187W
Z74137 CAA98655.1 S000002247 YDL089W
X63826 CAA45320.1 S000000404 YBR200W
Z49483 CAA89505.1 S000003744 YJL208C
M60414 AAA34558.1 S000005258 YNL314W
U31376 AAA74491.1 S000001213 YHR170W
M54879 AAA34782.1 S000003838 YJR077C
Z74374 CAA98897.1 S000002485 YDR078C
U56416 AAB01212.1 S000005332 YNR049C
U03280 AAC48917.1 S000004747 YMR139W
Z73198 CAA97549.1 S000004016 YLR026C
Z73286 CAA97681.1 S000004104 YLR114C
Z75262 CAA99683.1 S000005881 YOR354C
Z49560 CAA89588.1 S000003821 YJR060W
Z49289 CAA89305.1 S000003551 YJL014W
Z74096 CAA98610.1 S000002206 YDL048C
Z74164 CAA98684.1 S000002274 YDL116W
Z36153 CAA85248.1 S000000488 YBR284W
Z72879 CAA97097.1 S000003326 YGR094W
Z73180 CAA97530.1 S000003998 YLR008C
Z74964 CAA99249.1 S000005582 YOR056C
Z28317 CAA82171.1 S000001800 YKR092C
Z74883 CAA99162.1 S000005501 YOL141W
Z35842 CAA84902.1 S000000177 YBL081W
Z71683 CAA96350.1 S000005351 YNR068C
U15099 AAA65711.1 S000000893 YER091C
L24435 AAA35077.1 S000003663 YJL127C
U65790 AAC49620.1 S000004093 YLR103C
Z73239 CAA97623.1 S000004057 YLR067C
D14417 BAA03312.1 S000005669 YOR143C
U26257 AAC49366.1 S000003770 YJR010C-A
L06487 AAA35239.1 S000002693 YDR285W
Z71299 CAA95885.1 S000004968 YNL023C
Z35950 CAA85026.1 S000000285 YBR081C
Z74375 CAA98898.1 S000002486 YDR079W
U40390 AAC98538.1 S000004551 YML086C
M29585 AAA66939.1 S000006380 YPR176C
Z28212 CAA82057.1 S000001695 YKL212W
Z49418 CAA89438.1 S000003679 YJL143W
Z28245 CAA82092.1 S000001728 YKR020W
Z71402 CAA96007.1 S000005070 YNL126W
X79803 CAA56198.1 S000000101 YBL005W
Z35885 CAA84958.1 S000000220 YBR016W
Z36081 CAA85176.1 S000000416 YBR212W
Z71435 CAA96046.1 S000005103 YNL159C
Z71368 CAA95968.1 S000005036 YNL092W
Z73069 CAA97315.1 S000003516 YGR284C
J03279 AAA34543.1 S000003865 YJR104C
X13161 CAA31559.1 S000005309 YNR026C
Z74884 CAA99163.1 S000005502 YOL142W
Z74844 CAA99116.1 S000005462 YOL102C
U48868 AAC49415.1 S000003793 YJR032W
Z74927 CAA99209.1 S000005545 YOR019W
L16533 AAC37362.1 S000002666 YDR258C
Z72996 CAA97238.1 S000003443 YGR211W
V01306 CAA24613.1 S000000857 YER055C
Z73114 CAA97453.1 S000003932 YLL009C
Z74934 CAA99216.1 S000005552 YOR026W
Z72774 CAA96972.1 S000003221 YGL252C
Z28125 CAA81966.1 S000001608 YKL125W
Z74811 CAA99079.1 S000005430 YOL069W
Z28032 CAA81867.1 S000001515 YKL032C
Z75096 CAA99397.1 S000005714 YOR188W
Z36040 CAA85132.1 S000000375 YBR171W
Z72955 CAA97196.1 S000003402 YGR170W
M38357 AAA35071.1 S000001056 YHR014W
Z75037 CAA99328.1 S000005655 YOR129C
X04082 CAA27719.1 S000000347 YBR143C
Z74873 CAA99151.1 S000005491 YOL131W
Z73530 CAA97881.1 S000006095 YPL174C
U12185 AAB00106.1 S000002520 YDR113C
Z72728 CAA96919.1 S000003174 YGL206C
Z73555 CAA97913.1 S000006120 YPL199C
Z73303 CAA97702.1 S000004121 YLR131C
Z73214 CAA97571.1 S000004032 YLR042C
Z75266 CAA99687.1 S000005885 YOR358W
M10138 AAA66900.1 S000001093 YHR051W
Z71332 CAA95929.1 S000005001 YNL056W
Z74791 CAA99054.1 S000005409 YOL049W
Z49572 CAA89600.1 S000003833 YJR072C
U11057 AAA99546.1 S000006277 YPR073C
Z50111 CAA90450.1 S000002498 YDR091C
Z50111 CAA90449.1 S000002497 YDR090C
Z50111 CAA90451.1 S000002499 YDR092W
M55623 AAA35070.1 S000006074 YPL153C
U40843 AAA85585.1 S000003442 YGR210C
U40843 AAA85584.1 S000003441 YGR209C
AF418016 AAL13305.1 S000005768 YOR242C
Z73252 CAA97639.1 S000004070 YLR080W
AX057678 CAC22442.1 S000002579 YDR172W
X62105 CAA44015.1 S000004168 YLR178C
M89778 AAA35211.1 S000005796 YOR270C
Z28120 CAA81961.1 S000001603 YKL120W
Z73185 CAA97535.1 S000004003 YLR013W
Z75276 CAA99699.1 S000005895 YOR368W
L16549 AAB49377.1 S000000595 YCR002C
U31819 AAC49073.1 S000004984 YNL039W
M12057 AAA34549.1 S000003542 YJL005W
X81465 CAA57223.1 S000005507 YOL147C
X67317 CAA47731.1 S000003168 YGL200C
L01264 AAA35035.1 S000002371 YDL212W
